VISS_EU_CD	local_EQR	PTOT	SALT	YEAR_count	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
SE575150-162700	0.2475433991495083	1.6283333333333334	5.6504166666666675	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.3270833333333334	0.1768167136782202	BAD	(0, 'SE575150-162700')
SE575370-164220	0.3549653223914607	1.1849999999999998	6.725	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.8128125	0.29995376318861433	POOR	(0, 'SE575370-164220')
SE573940-163560	0.3781677298929029	1.2037499999999999	4.05625	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.8415	0.3308903065238706	POOR	(0, 'SE573940-163560')
SE565400-163600	0.5088225494653458	0.9889375	6.8745	4	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	0.7559625	0.43529322678667803	MODERATE	(0, 'SE565400-163600')
SE570080-163430	0.5763056271100041	0.871875	6.486875	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.393875	0.4966414791909129	MODERATE	(0, 'SE570080-163430')
SE565800-163000	0.5445372843174919	0.9375	6.655625000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.6410625	0.4677611675613564	MODERATE	(0, 'SE565800-163000')
SE570340-163710	0.5084447873888807	0.9899166666666666	6.632499999999999	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.7589166666666667	0.43494980671716427	MODERATE	(0, 'SE570340-163710')
SE570500-163750	0.5238325692267114	0.97125	6.1850000000000005	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.759125	0.4489386992970104	MODERATE	(0, 'SE570500-163750')
SE573500-163500	0.3543784496130498	1.19875	5.2425	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.8576250000000001	0.2991712661507331	POOR	(0, 'SE573500-163500')
SE563825-161810	0.560606998693709	0.886875	6.6312500000000005	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.5708125000000001	0.4823699988124628	MODERATE	(0, 'SE563825-161810')
SE564250-162500	0.5657954653541952	0.9193749999999998	6.826875	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.592	0.4870867866856321	MODERATE	(0, 'SE564250-162500')
SE659024-162417	0.2822221942675395	1.4452083333333332	2.7664583333333335	4	['24 - Stockholms inre skärgård och Hallsfjärden']	1.0886458333333333	0.20296292569005261	POOR	(0, 'SE659024-162417')
SE572205-163500	0.5384573376138436	0.92625	6.7025	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.698375	0.4622339432853124	MODERATE	(0, 'SE572205-163500')
SE571552-162848	0.4487318707141403	1.1237499999999998	6.8575	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.8741249999999999	0.3734148383926754	POOR	(0, 'SE571552-162848')
SE572500-164500	0.49796100095157025	1.03	6.9	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.84725	0.4254190917741548	MODERATE	(0, 'SE572500-164500')
SE583718-161687	0.2995847791828803	1.374875	3.75	4	['13 - Östergötlands inre kustvatten']	1.0425	0.22611303891050705	POOR	(0, 'SE583718-161687')
SE583926-161744	0.30214505389414603	1.3720416666666668	4.822916666666666	4	['13 - Östergötlands inre kustvatten']	1.1332499999999999	0.22952673852552802	POOR	(0, 'SE583926-161744')
SE583000-165600	0.33523506862726143	1.255125	5.991666666666667	4	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.0444166666666668	0.2736467581696819	POOR	(0, 'SE583000-165600')
SE560940-151740	0.5405255689002162	0.9216666666666666	7.050000000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.5045833333333334	0.46411415354565116	MODERATE	(0, 'SE560940-151740')
SE560500-154880	0.44257811551193904	1.0825	7.395833333333334	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.5941666666666666	0.36572264438992386	POOR	(0, 'SE560500-154880')
SE560810-153980	0.5513649217884465	0.9083333333333332	7.167083333333334	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.4320833333333333	0.47396811071676964	MODERATE	(0, 'SE560810-153980')
SE560780-153500	0.540253264237478	0.9254166666666667	7.2225	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.4370833333333333	0.46386660385225276	MODERATE	(0, 'SE560780-153500')
SE560795-154730	0.627608756702209	0.8270833333333334	6.862291666666668	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.34125	0.5432806879110992	MODERATE	(0, 'SE560795-154730')
SE560775-153055	0.5363317648148345	0.9410416666666667	7.307500000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.48916666666666664	0.4603016043771223	MODERATE	(0, 'SE560775-153055')
SE560700-155801	0.43753355209299344	1.1616666666666666	7.5183333333333335	4	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	0.6416666666666666	0.35941694011624187	POOR	(0, 'SE560700-155801')
SE582460-164500	0.33074505469020765	1.3323333333333331	5.741666666666667	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.0314166666666666	0.2676600729202769	POOR	(0, 'SE582460-164500')
SE581520-165000	0.3309971054018127	1.275875	6.725	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.0074166666666666	0.26799614053575027	POOR	(0, 'SE581520-165000')
SE560825-144215	0.4888559905217172	1.0183333333333333	6.851249999999999	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.56375	0.4171418095651975	MODERATE	(0, 'SE560825-144215')
SE621688-144133	0.5336453099247873	0.93625	7.67	4	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	0.58375	0.45785937265889765	MODERATE	(0, 'SE621688-144133')
SE560900-145280	0.46669991488086593	1.0691666666666666	6.802500000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.6133333333333334	0.39587489360108247	POOR	(0, 'SE560900-145280')
SE560205-143545	0.4292719971853596	1.1712500000000001	7.415	4	['07 - Skånes kustvatten']	0.6633333333333333	0.34908999648169947	POOR	(0, 'SE560205-143545')
SE581000-164020	0.2581530371037082	1.6251666666666666	5.445833333333333	4	['13 - Östergötlands inre kustvatten']	1.174375	0.1843950265026487	BAD	(0, 'SE581000-164020')
SE580585-164720	0.32725061200696026	1.3323749999999999	6.379166666666667	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.0789583333333332	0.2630008160092803	POOR	(0, 'SE580585-164720')
SE580735-165296	0.34441908424496137	1.2668749999999998	6.875	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.0384583333333333	0.28589211232661516	POOR	(0, 'SE580735-165296')
SE580000-164060	0.3804303429338317	1.1601666666666666	5.433333333333334	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.8930833333333332	0.3339071239117756	POOR	(0, 'SE580000-164060')
SE554800-142001	0.5657786512309336	0.8859583333333334	7.801583333333333	4	['07 - Skånes kustvatten']	0.5393749999999999	0.48707150111903064	MODERATE	(0, 'SE554800-142001')
SE562450-122751	0.5932	1.1500000000000001	18.540000000000003	1	['05 - Södra Hallands och norra Öresunds kustvatten']	0.6666666666666666	0.4132	MODERATE	(0, 'SE562450-122751')
SE658352-163189	0.31403181376511363	1.2841666666666667	2.48	3	['24 - Stockholms inre skärgård och Hallsfjärden']	1.0266666666666666	0.24537575168681816	POOR	(0, 'SE658352-163189')
SE594670-185500	0.3082754214668107	1.4730555555555556	3.4861111111111107	3	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.7280555555555556	0.23770056195574757	POOR	(0, 'SE594670-185500')
SE594800-190220	0.5450581395348837	0.75	5.5	2	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.475	0.5000505561172902	MODERATE	(0, 'SE594800-190220')
SE601000-183510	0.56836285131659	0.73	4.333333333333334	3	['16 - Södra Bottenhavet. Inre kustvatten']	0.3666666666666667	0.45836285131659005	MODERATE	(0, 'SE601000-183510')
SE600565-184600	0.6422591528176934	0.6425000000000001	3.5250000000000004	2	['16 - Södra Bottenhavet. Inre kustvatten']	0.305	0.5322591528176934	MODERATE	(0, 'SE600565-184600')
SE561030-122821	0.6128222162749802	1.0933333333333335	15.979999999999999	3	['05 - Södra Hallands och norra Öresunds kustvatten']	0.715	0.4328222162749803	MODERATE	(0, 'SE561030-122821')
SE554810-125240	0.5602169046776034	1.0850000000000002	15.276666666666666	3	['06 - Öresunds kustvatten']	0.8033333333333333	0.37672577020894527	POOR	(0, 'SE554810-125240')
SE552500-124461	0.4517291096017348	1.1322222222222222	11.332222222222223	3	['07 - Skånes kustvatten']	0.6283333333333334	0.37716138700216856	POOR	(0, 'SE552500-124461')
SE572472-120302	0.7495035947614843	0.9413333333333332	21.582346296296294	3	['01s - Västkustens inre kustvatten']	0.4617777777777778	0.5695035947614844	MODERATE	(0, 'SE572472-120302')
SE572135-120141	0.7610758414588781	0.9344259259259259	22.43902962962963	3	['01s - Västkustens inre kustvatten']	0.4637962962962963	0.5810758414588781	MODERATE	(0, 'SE572135-120141')
SE594340-190448	0.6153846153846154	0.65	5.5	1	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	0.54	0.5612040133779265	MODERATE	(0, 'SE594340-190448')
SE592400-180800	0.31846640465645926	1.304	2.4	3	['24 - Stockholms inre skärgård och Hallsfjärden']	0.8016666666666667	0.2512885395419457	POOR	(0, 'SE592400-180800')
SE593750-183962	0.2904205203055778	1.961666666666667	3.716666666666667	3	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.4016666666666666	0.2138940270741037	POOR	(0, 'SE593750-183962')
SE643700-211940	0.35750000000000004	0.8	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	0.19	0.3218750000000001	POOR	(0, 'SE643700-211940')
SE623890-178030	0.9876543209876543	0.405	5.0	1	['19 - Norra Bottenhavet. Höga kusten. Yttre kustvatten']	0.09	0.9854756717501816	HIGH	(0, 'SE623890-178030')
SE622500-172430	1.4169278996865204	0.2825	3.5	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	0.055	1.0	HIGH	(0, 'SE622500-172430')
