BIOV_CONC_ALL	DEPH_count	POSITION	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.5261344615	0	58.26_11.43	1.35		2015-08-05	HIGH	SE581700-113000	02 - Västkustens fjordar	2015	1.0	13	1.0	13_SE581700-113000
0.5898892528	0	58.26_11.43	1.35		2015-08-25	HIGH	SE581700-113000	02 - Västkustens fjordar	2015	1.0	14	1.0	14_SE581700-113000
0.8327151978	0	58.26_11.43	1.35		2016-06-07	HIGH	SE581700-113000	02 - Västkustens fjordar	2016	1.0	15	1.0	15_SE581700-113000
2.222693899	0	58.26_11.43	1.35		2016-06-17	GOOD	SE581700-113000	02 - Västkustens fjordar	2016	0.7368444197601334	16	0.6073710827241534	16_SE581700-113000
0.86758465799	0	58.26_11.43	1.35		2016-07-05	HIGH	SE581700-113000	02 - Västkustens fjordar	2016	1.0	17	1.0	17_SE581700-113000
1.5336590191	0	58.26_11.43	1.35		2016-07-24	HIGH	SE581700-113000	02 - Västkustens fjordar	2016	0.9251548841639777	18	0.8802478146623642	18_SE581700-113000
0.4291179606	0	58.26_11.43	1.35		2016-08-02	HIGH	SE581700-113000	02 - Västkustens fjordar	2016	1.0	19	1.0	19_SE581700-113000
0.1154276583	0	58.26_11.43	1.35		2016-08-26	HIGH	SE581700-113000	02 - Västkustens fjordar	2016	1.0	20	1.0	20_SE581700-113000
0.2524765495	0	56.37_16.20	0.18		2013-06-19	GOOD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.7911718749546678	0	0.7129374999637342	0_SE561400-161201
0.608083247	0	56.37_16.20	0.18		2013-07-15	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.43500756361077647	1	0.2960121017772423	1_SE561400-161201
1.3641061208	0	56.37_16.20	0.18		2013-08-21	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013	0.26494317895740066	2	0.1319545431659205	2_SE561400-161201
0.2227674535	0	56.37_16.20	0.18		2014-06-13	HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.862869640104637	3	0.8080174961464917	3_SE561400-161201
0.4587808988	0	56.37_16.20	0.18		2014-07-13	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	0.49521509133065067	4	0.39234414612904106	4_SE561400-161201
0.12996476087	0	56.37_16.20	0.18		2014-08-06	HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014	1.0	5	1.0	5_SE561400-161201
0.059960317	0	56.37_16.20	0.18		2015-06-16	HIGH	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	1.0	6	1.0	6_SE561400-161201
0.326847576	0	56.37_16.20	0.18		2015-07-26	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.5941971373225053	7	0.5507154197160086	7_SE561400-161201
0.290859735	0	56.37_16.20	0.18		2016-06-18	GOOD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.6735687443983953	8	0.6188549955187163	8_SE561400-161201
0.2743736946	0	56.37_16.20	0.18		2016-07-25	GOOD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.720049459653994	9	0.6560395677231953	9_SE561400-161201
0.310543511	0	56.37_16.20	0.18		2016-08-27	GOOD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.6245361504269202	10	0.5796289203415362	10_SE561400-161201
0.1706286773	0	65.73_22.45	0.16		2013-06-05	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	0.965393737936324	0	0.937708728285383	0_SE654470-222700
1.3028006242	0	65.73_22.45	0.16		2013-07-18	POOR	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	0.2535154315134078	1	0.12281234521072622	1_SE654470-222700
0.43374834985	0	65.73_22.45	0.16		2013-08-14	MODERATE	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	0.5356605095178045	2	0.3688774840419142	2_SE654470-222700
0.2204346883	0	65.73_22.45	0.16		2014-06-04	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	0.8476880971308847	3	0.7258385748355923	3_SE654470-222700
0.4875210026	0	65.73_22.45	0.16		2014-07-02	MODERATE	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	0.49283261999661976	4	0.3281909889967887	4_SE654470-222700
0.20799596316	0	65.73_22.45	0.16		2014-07-30	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	0.8718031659236277	5	0.7692456986625298	5_SE654470-222700
0.7782846309	0	65.73_22.45	0.16		2015-06-02	POOR	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	0.35697539442443077	6	0.2055803155395446	6_SE654470-222700
