YEAR	local_EQR	PTOT	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PHOS	global_EQR	STATUS	index_column
2014	0.48558479585873987	0.737904761904762	4.786190476190476	7	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.1685714285714286	0.3395386620652665	POOR	(1, 'SE591400-183200')
2015	0.3290031471846012	0.9565714285714285	5.113333333333332	7	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.23199999999999998	0.18277952621366736	BAD	(2, 'SE591400-183200')
2013	0.5694454592363261	0.54	5.4905	2	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.015	0.42944545923632604	MODERATE	(0, 'SE591200-183600')
2014	0.6105959381044488	0.51	5.305	2	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.015	0.4705959381044488	MODERATE	(1, 'SE591200-183600')
2015	0.4371693473193473	0.72	5.148	2	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.025	0.2857437192437192	POOR	(2, 'SE591200-183600')
2016	0.5317290865384616	0.5800000000000001	5.609	2	SE591200-183600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.15000000000000002	0.3908100961538462	POOR	(3, 'SE591200-183600')
2013	0.2861391856094722	3.5922916666666667	3.907489583333333	8	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	1.4261458333333334	0.15896621422748458	BAD	(0, 'SE592040-184000')
2014	0.276401493784871	4.3563888888888895	4.680000000000001	9	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2.3830555555555555	0.15355638543603944	BAD	(1, 'SE592040-184000')
2015	0.20406609589789734	3.249444444444445	4.74311111111111	9	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	1.5222222222222221	0.11337005327660964	BAD	(2, 'SE592040-184000')
2016	0.5849014844804319	0.5449999999999999	4.827500000000001	2	SE592040-184000	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.09000000000000001	0.4449014844804319	MODERATE	(3, 'SE592040-184000')
2013	0.3698608938300367	1.1849999999999998	4.845000000000001	4	SE592245-184400	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.5425	0.21095654870004077	POOR	(0, 'SE592245-184400')
2014	0.37124048647299707	1.32	5.16	3	SE592245-184400	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	0.11	0.2124894294144412	POOR	(1, 'SE592245-184400')
2014	0.28821073948262355	0.875	4.93	2	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	0.04	0.16953572910742562	BAD	(0, 'SE600740-183460')
2015	0.3192560784313726	0.8	4.8565	2	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	0.07	0.18779769319492506	BAD	(1, 'SE600740-183460')
2016	0.3239135996038951	0.78	4.9735	2	SE600740-183460	16 - Södra Bottenhavet. Inre kustvatten	0.16	0.190537411531703	BAD	(2, 'SE600740-183460')
2014	0.2572287885183622	0.9750000000000001	5.04	2	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	0.04	0.1513110520696248	BAD	(0, 'SE601070-182870')
2015	0.31089689393939396	0.815	4.942500000000001	2	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	0.06	0.18288052584670234	BAD	(1, 'SE601070-182870')
2016	0.33702477477477477	0.745	4.989000000000001	2	SE601070-182870	16 - Södra Bottenhavet. Inre kustvatten	0.12	0.1982498675145734	BAD	(2, 'SE601070-182870')
2013	1.031609195402299	0.31636363636363635	2.4545454545454546	1	SE625500-175153	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		1.0	HIGH	(0, 'SE625500-175153')
2015	2.125	0.16	2.0	1	SE625500-175153	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten		1.0	HIGH	(1, 'SE625500-175153')
2013	1.1446296296296299	0.2475	3.9250000000000003	2	SE622126-172430	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.01	1.0	HIGH	(0, 'SE622126-172430')
2014	0.8555555555555556	0.33	4.0	2	SE622126-172430	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.0175	0.8300653594771243	HIGH	(1, 'SE622126-172430')
2015	0.9824561403508771	0.28500000000000003	4.0	1	SE622126-172430	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.025	0.9793601651186791	HIGH	(2, 'SE622126-172430')
2013	0.8116374269005848	0.3675	3.875	2	SE622339-172190	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.01	0.7717498875393614	GOOD	(0, 'SE622339-172190')
2014	0.6604989868287741	0.44500000000000006	3.55	2	SE622339-172190	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.0175	0.5640899880261583	MODERATE	(1, 'SE622339-172190')
2015	0.6595238095238096	0.42	4.1	1	SE622339-172190	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	0.045	0.5632034632034634	MODERATE	(2, 'SE622339-172190')
2013	0.9746214470284238	0.309	1.26	2	SE652920-222650	22 - Norra Bottenviken. Inre kustvatten		0.9701428788569693	HIGH	(0, 'SE652920-222650')
2014	1.1396244988545245	0.24100000000000002	1.6400000000000001	2	SE652920-222650	22 - Norra Bottenviken. Inre kustvatten		1.0	HIGH	(1, 'SE652920-222650')
2015	0.5274088384448201	0.448	2.0	2	SE652920-222650	22 - Norra Bottenviken. Inre kustvatten		0.4521898531316547	MODERATE	(2, 'SE652920-222650')
2013	0.30285682633256683	0.7933333333333333	2.0	3	SE656620-222480	22 - Norra Bottenviken. Inre kustvatten		0.19539150085972057	BAD	(0, 'SE656620-222480')
2013	0.22384931506849318	1.1322222222222222	2.0	3	SE656300-222750	22 - Norra Bottenviken. Inre kustvatten		0.14441891294741496	BAD	(0, 'SE656300-222750')
2013	0.6907565501654864	0.4255555555555555	2.0	3	SE655120-220380	22 - Norra Bottenviken. Inre kustvatten		0.6010807859506949	GOOD	(0, 'SE655120-220380')
2013	0.19382352941176473	1.2111111111111112	2.0	3	SE655180-218660	22 - Norra Bottenviken. Inre kustvatten		0.12504743833017082	BAD	(0, 'SE655180-218660')
2013	0.4435777371675843	0.71025	3.8874999999999997	5	SE636150-199220	20 - Norra Kvarkens inre kustvatten	0.065	0.36697217145948047	POOR	(0, 'SE636150-199220')
2014		1.0008333333333332		3	SE636150-199220	20 - Norra Kvarkens inre kustvatten	0.081		BAD	(1, 'SE636150-199220')
2015		0.6834999999999999		3	SE636150-199220	20 - Norra Kvarkens inre kustvatten	0.11316666666666668		BAD	(2, 'SE636150-199220')
2013	0.6510297992645454	0.41111111111111115	3.0666666666666664	3	SE635040-204196	20 - Norra Kvarkens inre kustvatten		0.5645725447859504	MODERATE	(0, 'SE635040-204196')
2013	0.27618016178433996	0.9266666666666667	3.4666666666666663	3	SE637070-204260	20 - Norra Kvarkens inre kustvatten		0.17818074953828386	BAD	(0, 'SE637070-204260')
2013	0.4222888241882948	0.591111111111111	3.533333333333333	3	SE636910-204040	20 - Norra Kvarkens inre kustvatten		0.3403610302353685	POOR	(0, 'SE636910-204040')
2014	0.4766052971576228	0.575	4.715	2	SE602120-181610	16 - Södra Bottenhavet. Inre kustvatten	0.03	0.36071211430308564	POOR	(0, 'SE602120-181610')
2015	0.39962061403508775	0.665	4.67	2	SE602120-181610	16 - Södra Bottenhavet. Inre kustvatten	0.045000000000000005	0.2701418988648091	POOR	(1, 'SE602120-181610')
2016	0.4443870192307693	0.5800000000000001	4.816000000000001	2	SE602120-181610	16 - Södra Bottenhavet. Inre kustvatten	0.065	0.3228082579185521	POOR	(2, 'SE602120-181610')
2013	0.7825330067322951	0.5138888888888888	21.921666666666667	3	SE582000-115270	02 - Västkustens fjordar	0.06833333333333333	0.7208883445538252	GOOD	(0, 'SE582000-115270')
2014	0.5167078345461168	0.8558333333333333	23.111666666666668	3	SE582000-115270	02 - Västkustens fjordar	0.2891666666666667	0.4159122233772541	MODERATE	(1, 'SE582000-115270')
2015	0.8495081626912216	0.49750000000000005	21.240000000000002	3	SE582000-115270	02 - Västkustens fjordar	0.055	0.8229507796367315	HIGH	(2, 'SE582000-115270')
2016	0.6590391775576961	0.6074999999999999	22.42916666666667	3	SE582000-115270	02 - Västkustens fjordar	0.04083333333333333	0.5514658833882821	MODERATE	(3, 'SE582000-115270')
2017	0.6039018478779751	0.6916666666666668	23.489166666666666	3	SE582000-115270	02 - Västkustens fjordar	0.05166666666666667	0.4989541408361668	MODERATE	(4, 'SE582000-115270')
2013	0.8341630491058983	0.486	21.242	3	SE575700-114240	02 - Västkustens fjordar	0.06133333333333333	0.8048977048304687	HIGH	(0, 'SE575700-114240')
2013	0.7924089184079771	0.5061111111111111	22.540555555555553	3	SE581740-114820	02 - Västkustens fjordar	0.058888888888888886	0.7373481973466286	GOOD	(0, 'SE581740-114820')
2014	0.5080926679614935	0.8683333333333333	23.35833333333333	3	SE581740-114820	02 - Västkustens fjordar	0.27666666666666667	0.4077073028204701	MODERATE	(1, 'SE581740-114820')
2015	0.8614802510151347	0.5083333333333334	22.162499999999998	3	SE581740-114820	02 - Västkustens fjordar	0.04	0.8370355894295703	HIGH	(2, 'SE581740-114820')
2016	1.290984320098486	0.4641666666666668	22.167083333333334	6	SE581740-114820	02 - Västkustens fjordar	0.04125	1.0	HIGH	(3, 'SE581740-114820')
2017	1.115776098360122	0.5529166666666666	23.732083333333332	6	SE581740-114820	02 - Västkustens fjordar	0.08125	1.0	HIGH	(4, 'SE581740-114820')
2013	0.502013449526924	0.8072222222222223	17.356416666666664	6	SE563330-124600	05 - Södra Hallands och norra Öresunds kustvatten	0.14	0.40191757097802283	MODERATE	(0, 'SE563330-124600')
2014	0.6033749745867926	0.662	17.8459	5	SE563330-124600	05 - Södra Hallands och norra Öresunds kustvatten	0.09500000000000001	0.4984523567493263	MODERATE	(1, 'SE563330-124600')
2015	0.5117042970354256	0.6892857142857142	17.53642857142857	7	SE563330-124600	05 - Södra Hallands och norra Öresunds kustvatten	0.12214285714285715	0.41114694955754827	MODERATE	(2, 'SE563330-124600')
2013	0.8245714285714287	0.28777777777777774	2.0	3	SE654860-219880	22 - Norra Bottenviken. Inre kustvatten		0.792244897959184	GOOD	(0, 'SE654860-219880')
2013	0.9942880456956343	0.4033333333333333	20.987777777777776	3	SE575340-113000	03 - Västkustens yttre kustvatten. Skagerrak	0.056111111111111105	0.9932800537595698	HIGH	(0, 'SE575340-113000')
2014	0.722591693434076	0.5575	22.162499999999998	3	SE575340-113000	03 - Västkustens yttre kustvatten. Skagerrak	0.03166666666666667	0.62098615572346	GOOD	(1, 'SE575340-113000')
2015	0.8227363486297338	0.5125000000000001	21.263083333333334	3	SE575340-113000	03 - Västkustens yttre kustvatten. Skagerrak	0.041666666666666664	0.7878939143828897	GOOD	(2, 'SE575340-113000')
2016	0.7665990264250091	0.5275	20.265083333333333	3	SE575340-113000	03 - Västkustens yttre kustvatten. Skagerrak	0.03916666666666667	0.6943317107083485	GOOD	(3, 'SE575340-113000')
2017	0.6716151293485065	0.6041666666666666	23.62975	3	SE575340-113000	03 - Västkustens yttre kustvatten. Skagerrak	0.059166666666666666	0.563442980331911	MODERATE	(4, 'SE575340-113000')
2013	0.7126361198188785	0.37285714285714283	1.7787777777777778	3	SE654500-232000	22 - Norra Bottenviken. Inre kustvatten	0.06333333333333334	0.6323373140269694	GOOD	(0, 'SE654500-232000')
2014	1.1616100281162138	0.33499999999999996	0.23714285714285716	2	SE654500-232000	22 - Norra Bottenviken. Inre kustvatten	0.07	1.0	HIGH	(1, 'SE654500-232000')
