AMON	DATE_count	DIN	NTOT	NTRA	NTRI	NTRZ	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	max	min	number_of_dates
0.4575	2.0	6.4375	16.5975			5.9799999999999995	3.5	GOOD	SE622500-172430	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013.0	0.6113801446941735	(0, 'SE622500-172430')	0.6679661012859215			
0.55	1.0	6.9399999999999995	17.135			6.39	3.5	MODERATE	SE622860-173000	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013.0	0.5632695834424941	(0, 'SE622860-173000')	0.6195965417867435			
0.76	1.0	6.04	18.92			5.279999999999999	4.55	GOOD	SE622000-172300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013.0	0.6245033112582781	(0, 'SE622000-172300')	0.6771523178807947			
99.79	1.0	106.965	99.99			7.175	3.55	BAD	SE614165-171500	16 - Södra Bottenhavet. Inre kustvatten	2013.0	0.023081994271410083	(0, 'SE614165-171500')	0.03346889169354462			
27.525	1.0	28.415	51.4			0.8900000000000001	4.9	BAD	SE614165-171500	16 - Södra Bottenhavet. Inre kustvatten	2014.0	0.07378327376871129	(1, 'SE614165-171500')	0.10698574696463137			
71.75	1.0	82.1	100.93			10.35	4.800000000000001	BAD	SE614165-171500	16 - Södra Bottenhavet. Inre kustvatten	2015.0	0.025872569196522324	(2, 'SE614165-171500')	0.03751522533495737			
0.20333333333333334	1.0	0.9466666666666667	20.23			0.7433333333333333	4.633333333333333	HIGH	SE613760-171000	16 - Södra Bottenhavet. Inre kustvatten	2013.0	1.0	(0, 'SE613760-171000')	3.323943661971831			
0.06	1.0	1.07	29.05			1.01	2.8000000000000003	HIGH	SE613760-171000	16 - Södra Bottenhavet. Inre kustvatten	2014.0	1.0	(1, 'SE613760-171000')	3.626168224299065			
0.19033333333333333	1.0	7.890000000000001	20.716666666666665			7.7	4.0	POOR	SE613760-171000	16 - Södra Bottenhavet. Inre kustvatten	2015.0	0.3879002957329953	(2, 'SE613760-171000')	0.43092522179974646			
0.15250000000000002	1.0	0.7375	19.455000000000002			0.585	5.2	HIGH	SE613500-172500	16 - Södra Bottenhavet. Inre kustvatten	2013.0	1.0	(0, 'SE613500-172500')	4.067796610169491			
1.0125	1.0	1.7950000000000002	23.025000000000002			0.7825	4.25	HIGH	SE613500-172500	16 - Södra Bottenhavet. Inre kustvatten	2014.0	1.0	(1, 'SE613500-172500')	1.8384401114206126			
0.071	1.0	5.72	16.427500000000002			5.65	5.05	MODERATE	SE613500-172500	16 - Södra Bottenhavet. Inre kustvatten	2015.0	0.4734569778048039	(2, 'SE613500-172500')	0.5244755244755245			
0.6466666666666666	1.0	1.4266666666666665	20.23			0.7799999999999999	4.133333333333333	HIGH	SE613591-171000	16 - Södra Bottenhavet. Inre kustvatten	2013.0	1.0	(0, 'SE613591-171000')	2.3457943925233646			
1.5499999999999998	1.0	2.25	20.345			0.7	3.4	HIGH	SE613591-171000	16 - Södra Bottenhavet. Inre kustvatten	2014.0	1.0	(1, 'SE613591-171000')	1.6177777777777775			
0.9285	1.0	6.93	21.785			6.0	3.6	MODERATE	SE613591-171000	16 - Södra Bottenhavet. Inre kustvatten	2015.0	0.4640943597465336	(2, 'SE613591-171000')	0.5137085137085137			
0.555	1.0	1.28	19.275			0.725	4.6	HIGH	SE613500-171000	16 - Södra Bottenhavet. Inre kustvatten	2013.0	1.0	(0, 'SE613500-171000')	2.46875			
0.225	1.0	0.815	17.134999999999998			0.59	4.5	HIGH	SE613500-171000	16 - Södra Bottenhavet. Inre kustvatten	2014.0	1.0	(1, 'SE613500-171000')	3.92638036809816			
0.2855	1.0	5.985	18.93			5.7	4.85	MODERATE	SE613500-171000	16 - Södra Bottenhavet. Inre kustvatten	2015.0	0.46198103955541026	(2, 'SE613500-171000')	0.5112781954887218			
0.36	1.0	1.185	19.63			0.825	4.6	HIGH	SE613240-171000	16 - Södra Bottenhavet. Inre kustvatten	2013.0	1.0	(0, 'SE613240-171000')	2.6666666666666665			
0.06	1.0	0.66	15.350000000000001			0.6	5.25	HIGH	SE613240-171000	16 - Södra Bottenhavet. Inre kustvatten	2014.0	1.0	(1, 'SE613240-171000')	4.545454545454545			
0.893	1.0	7.795	20.355			6.9	5.0	POOR	SE613240-171000	16 - Södra Bottenhavet. Inre kustvatten	2015.0	0.3264827881120377	(2, 'SE613240-171000')	0.38486209108402825			
11.0	1.0	15.95	28.5			4.949999999999999	2.0	POOR	SE645000-213500	22 - Norra Bottenviken. Inre kustvatten	2013.0	0.34282131661442006	(0, 'SE645000-213500')	0.39711598746081506			
8.35	1.0	19.85	38.5			11.5	2.0	POOR	SE637640-204160	20 - Norra Kvarkens inre kustvatten	2013.0	0.24859781696053737	(0, 'SE637640-204160')	0.326448362720403			
8.45	1.0	16.8	39.5			8.35	2.0	POOR	SE644730-210650	22 - Norra Bottenviken. Inre kustvatten	2013.0	0.316031746031746	(0, 'SE644730-210650')	0.3770238095238095			
1.085	1.0	6.785	16.5			5.7	2.95	HIGH	SE634230-201605	20 - Norra Kvarkens inre kustvatten	2013.0	0.8486366985998526	(0, 'SE634230-201605')	0.8486366985998526			
