YEAR	local_EQR	PHOS	SALT	DATE_count	VISS_EU_CD	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
2016	0.4256817958542096	0.5916666666666667	7.796666666666667	3	SE621688-144133	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	0.93	0.36960224481776205	POOR	(3, 'SE621688-144133')
2013	0.5013715173715174	0.5016666666666667	6.533333333333334	3	SE560900-145280	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	0.93	0.4489252546395404	MODERATE	(0, 'SE560900-145280')
2014	0.5467632007884462	0.4549999999999999	5.983333333333334	3	SE560900-145280	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	1.015	0.4921554293223297	MODERATE	(1, 'SE560900-145280')
2015	0.3767572646649721	0.6833333333333335	7.55	3	SE560900-145280	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	1.0999999999999999	0.3084465808312152	POOR	(2, 'SE560900-145280')
2016	0.3108472353238239	0.8133333333333334	7.1433333333333335	3	SE560900-145280	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	1.2316666666666667	0.22605904415477993	POOR	(3, 'SE560900-145280')
2013	0.44667514706690864	0.5783333333333333	6.966666666666668	3	SE560205-143545	07 - Skånes kustvatten	1.08	0.3958439338336358	POOR	(0, 'SE560205-143545')
2014	0.3817925517887302	0.6516666666666666	6.95	3	SE560205-143545	07 - Skånes kustvatten	1.2666666666666666	0.31474068973591274	POOR	(1, 'SE560205-143545')
2015	0.34639023081052067	0.7566666666666667	8.1	3	SE560205-143545	07 - Skånes kustvatten	1.1666666666666667	0.27048778851315086	POOR	(2, 'SE560205-143545')
2016	0.3828722709151879	0.6666666666666666	7.6433333333333335	3	SE560205-143545	07 - Skånes kustvatten	1.1716666666666666	0.3160903386439849	POOR	(3, 'SE560205-143545')
2013	0.2380097622421666	1.0433333333333332	5.55	2	SE581000-164020	13 - Östergötlands inre kustvatten	1.45	0.16414466361528735	BAD	(0, 'SE581000-164020')
2014	0.24388742569042066	0.9416666666666668	3.6500000000000004	2	SE581000-164020	13 - Östergötlands inre kustvatten	1.5766666666666667	0.16819822461408324	BAD	(1, 'SE581000-164020')
2015	0.16380146996225772	1.5516666666666667	6.45	2	SE581000-164020	13 - Östergötlands inre kustvatten	1.9149999999999998	0.11296653100845362	BAD	(2, 'SE581000-164020')
2016	0.22568360186492223	1.1608333333333334	6.133333333333334	2	SE581000-164020	13 - Östergötlands inre kustvatten	1.5590000000000002	0.15564386335511882	BAD	(3, 'SE581000-164020')
2013	0.30433227344992053	0.8233333333333333	6.0	2	SE580585-164720	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.0699999999999998	0.2191096979332274	POOR	(0, 'SE580585-164720')
2014	0.24868042853409983	1.0233333333333332	6.4	2	SE580585-164720	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.3566666666666665	0.1715037438166206	BAD	(1, 'SE580585-164720')
2015	0.1635787407635468	1.5299999999999998	6.300000000000001	2	SE580585-164720	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.7899999999999996	0.11281292466451505	BAD	(2, 'SE580585-164720')
2016	0.28254042963742926	0.9391666666666667	6.816666666666666	2	SE580585-164720	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.1128333333333333	0.19485546871546847	BAD	(3, 'SE580585-164720')
2013	0.3115480649188514	0.805	6.5	2	SE580735-165296	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.005	0.22873075322513522	POOR	(0, 'SE580735-165296')
2014	0.2667889170790525	0.9516666666666667	6.85	2	SE580735-165296	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.2466666666666666	0.18399235660624313	BAD	(1, 'SE580735-165296')
2015	0.16917625681405213	1.5016666666666665	7.25	2	SE580735-165296	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.7566666666666666	0.11667328056141527	BAD	(2, 'SE580735-165296')
2016	0.2944715968909196	0.8955000000000001	6.8999999999999995	2	SE580735-165296	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.0591666666666666	0.20596212918789286	POOR	(3, 'SE580735-165296')
2013	0.29737864077669907	0.7566666666666666	3.55	2	SE580000-164060	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.135	0.20983818770226545	POOR	(0, 'SE580000-164060')
2014	0.2704235539957672	0.925	5.4	2	SE580000-164060	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	1.2433333333333334	0.18649900275570153	BAD	(1, 'SE580000-164060')
