VISS_EU_CD	local_EQR	NTOT	SALT	YEAR_count	WATER_TYPE_AREA	DIN	global_EQR	STATUS	index_column
SE583730-164501	0.689605989653086	26.544166666666666	5.333333333333333	4	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	8.146666666666667	0.41130116429774816	MODERATE	(0, 'SE583730-164501')
SE582705-163350	0.43670971928417085	54.290416666666665	3.7625	4	['13 - Östergötlands inre kustvatten']	27.84416666666667	0.17468388771366836	BAD	(0, 'SE582705-163350')
SE582050-165820	0.8063834000233192	21.77166666666667	6.7875	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	4.741875	0.5722157647333168	MODERATE	(0, 'SE582050-165820')
SE582147-111771	1.2106200457267728	16.690833333333334	27.818	5	['01n - Västkustens inre kustvatten']	5.3961250000000005	1.0	HIGH	(0, 'SE582147-111771')
SE580688-114860	0.8767486062214948	24.559999999999995	22.981550000000002	5	['02 - Västkustens fjordar']	11.884500000000001	0.7927746804922106	GOOD	(0, 'SE580688-114860')
SE575500-113750	0.9973325463305518	22.083392857142858	22.970815476190474	5	['01n - Västkustens inre kustvatten']	8.89167857142857	0.9955542438842531	HIGH	(0, 'SE575500-113750')
SE625900-174360	0.8653840417598808	22.349999999999998	1.6466666666666665	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	9.356666666666667	0.6884601043997021	GOOD	(0, 'SE625900-174360')
SE630383-183500	0.9554272245138479	18.855555555555558	4.962222222222222	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	4.928888888888889	0.9009493878085508	HIGH	(0, 'SE630383-183500')
SE633043-193300	0.925862658011616	19.513333333333332	4.833333333333333	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	7.663333333333334	0.8352503511369246	HIGH	(0, 'SE633043-193300')
SE552170-130626	0.7331883566106505	23.51111111111111	8.085	3	['07 - Skånes kustvatten']	6.997222222222223	0.47433924307135356	MODERATE	(0, 'SE552170-130626')
SE562000-123800	0.5890570669443103	30.464166666666664	19.13041666666667	4	['05 - Södra Hallands och norra Öresunds kustvatten']	11.894083333333334	0.376730074382567	POOR	(0, 'SE562000-123800')
SE591400-183200	0.47127394816267293	37.85222222222222	5.372407407407407	3	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	12.93061111111111	0.18481331300496978	BAD	(0, 'SE591400-183200')
SE592040-184000	0.4734665668452118	37.9537037037037	5.302777777777778	3	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	12.204999999999998	0.18567316346871054	BAD	(0, 'SE592040-184000')
SE622126-172430	0.91007371007371	20.35	3.7	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	6.640000000000001	0.8001638001637998	HIGH	(0, 'SE622126-172430')
SE622339-172190	0.8459242250287028	21.775	3.95	1	['18 - Norra Bottenhavet. Höga kusten. Inre kustvatten']	8.25	0.6398105625717571	GOOD	(0, 'SE622339-172190')
SE656620-222480	0.3838383838383838	49.5	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	18.5	0.15052485640720936	BAD	(0, 'SE656620-222480')
SE656300-222750	0.31666666666666665	60.0	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	33.0	0.12418300653594772	BAD	(0, 'SE656300-222750')
SE655120-220380	0.6551724137931034	29.0	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	8.8	0.37079107505070985	POOR	(0, 'SE655120-220380')
SE655180-218660	0.5428571428571428	35.0	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	9.64	0.23865546218487388	POOR	(0, 'SE655180-218660')
SE636150-199220	0.7333333333333334	27.0	2.0	1	['20 - Norra Kvarkens inre kustvatten']	13.8	0.47916666666666674	MODERATE	(0, 'SE636150-199220')
SE635040-204196	0.7245283018867924	26.5	3.0	1	['20 - Norra Kvarkens inre kustvatten']	8.2	0.46816037735849053	MODERATE	(0, 'SE635040-204196')
SE637070-204260	0.61125	32.0	2.4	1	['20 - Norra Kvarkens inre kustvatten']	18.3	0.3308823529411764	POOR	(0, 'SE637070-204260')
SE636910-204040	0.6046153846153846	32.5	2.25	1	['20 - Norra Kvarkens inre kustvatten']	21.4	0.323076923076923	POOR	(0, 'SE636910-204040')
SE582000-115270	0.7437997386384717	31.640000000000004	20.112499999999997	5	['02 - Västkustens fjordar']	16.792	0.5513681459352334	MODERATE	(0, 'SE582000-115270')
SE581740-114820	0.7788126298370722	28.675	22.0015	5	['02 - Västkustens fjordar']	15.5525	0.5882238208811287	MODERATE	(0, 'SE581740-114820')
SE563330-124600	0.8695097917462632	19.738888888888884	20.569333333333333	3	['05 - Södra Hallands och norra Öresunds kustvatten']	7.166111111111111	0.7658496529104386	GOOD	(0, 'SE563330-124600')
SE654860-219880	0.6129032258064516	31.0	2.0	1	['22 - Norra Bottenviken. Inre kustvatten']	8.6	0.3210626185958254	POOR	(0, 'SE654860-219880')
SE575340-113000	0.9798479702118111	21.744999999999997	23.934649999999998	5	['03 - Västkustens yttre kustvatten. Skagerrak']	9.769	0.9664132836863519	HIGH	(0, 'SE575340-113000')
