AMON	DEPH_count	DIN	NTOT	NTRA	NTRI	NTRZ	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_DIN	index_column	local_EQR	new_index
	3	7.06					5.13226666666667	6.466666666666666	2016-12-15	GOOD	SE570340-163710	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016	0.6876153119779189		4	0.7269499527856473	4_SE570340-163710
	1	4.66					3.9823999999999984	6.7	2013-12-17	HIGH	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013	0.8545922746781112		0	0.8545922746781112	0_SE570500-163750
	1	21.74					20.34336	3.38	2015-01-21	HIGH	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015	0.9357571297148115		1	0.9357571297148115	1_SE570500-163750
	1	5.29					4.475200000000001	6.6	2015-12-08	HIGH	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015	0.8459735349716447		2	0.8459735349716447	2_SE570500-163750
	1	5.3					2.503999999999998	7.5	2016-01-13	MODERATE	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016	0.42041166380788986		3	0.47245283018867884	3_SE570500-163750
	1	9.97					8.9104	5.7	2016-12-15	HIGH	SE570500-163750	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016	0.8937211634904713		4	0.8937211634904713	4_SE570500-163750
	1	13.67					6.5084100000000005	2.3	2013-02-21	MODERATE	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.43282636164128485		0	0.4761089978054133	0_SE573500-163500
	1	5.86					2.5002000000000004	6.5	2013-12-16	POOR	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.3822070534698522		1	0.4266552901023891	1_SE573500-163500
	1	11.55					3.9734880000000006	4.64	2015-01-21	POOR	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.2720332467532468		2	0.3440249350649351	2_SE573500-163500
	1	5.29					2.5002000000000004	6.8	2015-12-07	MODERATE	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2015	0.42966145385805127		3	0.4726275992438564	3_SE573500-163500
	1	4.55					2.5002000000000004	6.9	2016-02-23	MODERATE	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.49954045954045967		4	0.5494945054945056	4_SE573500-163500
	1	9.13					3.583500000000001	5.0	2016-12-15	POOR	SE573500-163500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2016	0.33666301569916035		5	0.3924972617743703	5_SE573500-163500
