BIOV_CONC_ALL	DATE_count	POSITION	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	new_index
0.4688043565	1	62.85_18.03		MODERATE	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5980457673376713	11	0.4479480557045548	11_SE625000-180075
2.2733326653	3	62.87_18.33		POOR	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.24204618007534812	0	0.11363694406027848	0_SE628750-183300
2.98286439665	2	62.87_18.33		POOR	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.22452226720999055	1	0.09961781376799243	1_SE628750-183300
5.113441568	1	62.88_18.33		BAD	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.10267057773485835	2	0.04106823109394334	2_SE628750-183300
0.646780846	1	63.21_18.71		MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.4806523235493942	0	0.32468493972686385	0_SE631346-184241
0.630444734	1	63.22_18.76		MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.48866494317372744	1	0.3330981903324138	1_SE631346-184241
0.90767313475	2	63.23_18.71		POOR	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.3938330393855114	2	0.2350664315084091	2_SE631346-184241
1.43549613	1	63.23_18.74		POOR	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.28286360688412304	3	0.14629088550729843	3_SE631346-184241
0.519856461	1	63.23_18.76		MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.5561501532576756	4	0.40395766092055935	4_SE631346-184241
0.984315976	1	63.22_18.70		POOR	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.3666826571958434	5	0.2133461257566747	5_SE631346-184241
0.202926592	1	63.22_18.75		HIGH	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	1.0	6	1.0	6_SE631346-184241
0.595675064	1	63.23_18.68		MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5071820922440743	7	0.352541196856278	7_SE631346-184241
0.5343509965	1	63.23_18.70		MODERATE	SE631346-184241	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5457143897577228	8	0.39300010924560896	8_SE631346-184241
