DEPH_count	DIN	NTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR
2	1.3900000000000001	15.350000000000001	17.7	3.3	2014-06-22	HIGH	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	2014	1.0	(3, 'SE633550-200700')	1.1530944625407165
2	2.0	9.2815	18.2	2.8	2014-07-09	HIGH	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	2014	1.0	(4, 'SE633550-200700')	1.960889942358455
2	1.285	15.707	17.65	3.35	2014-08-25	HIGH	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	2014	1.0	(5, 'SE633550-200700')	1.123702807665372
2	1.2850000000000001	16.421	17.7	3.3	2015-06-14	HIGH	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	2015	1.0	(6, 'SE633550-200700')	1.077888070154071
2	0.57	13.922	18.35	2.6500000000000004	2015-07-23	HIGH	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	2015	1.0	(7, 'SE633550-200700')	1.3180577503232294
2	1.605	14.993	18.25	2.75	2015-08-06	HIGH	SE633550-200700	21 - Norra Kvarkens yttre kustvatten	2015	1.0	(8, 'SE633550-200700')	1.2172347095311145
2	1.75	16.064	19.15	1.85	2013-07-01	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2013	1.0	(0, 'SE636570-203590')	1.1921065737051793
2	0.8899999999999999	15.350000000000001	18.2	2.8	2013-07-29	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2013	1.0	(1, 'SE636570-203590')	1.1856677524429966
2	1.3199999999999998	13.208	18.75	2.25	2013-08-21	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2013	1.0	(2, 'SE636570-203590')	1.4195941853422167
2	0.9650000000000001	13.922	18.8	2.2	2014-06-22	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2014	1.0	(3, 'SE636570-203590')	1.3503806924292487
2	1.855	13.208	18.5	2.5	2014-07-09	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2014	1.0	(4, 'SE636570-203590')	1.4006662628709872
2	1.4649999999999999	15.350000000000001	18.1	2.9	2014-08-25	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2014	1.0	(5, 'SE636570-203590')	1.1791530944625408
2	1.535	15.707	19.05	1.95	2015-06-14	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2015	1.0	(6, 'SE636570-203590')	1.2128350417011524
3	1.3833333333333335	13.802999999999999	18.833333333333332	2.1666666666666665	2015-07-23	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2015	1.0	(7, 'SE636570-203590')	1.36443768262938
3	1.7366666666666666	12.375	19.3	1.7	2015-08-06	HIGH	SE636570-203590	20 - Norra Kvarkens inre kustvatten	2015	1.0	(8, 'SE636570-203590')	1.5595959595959596
3	0.64	16.416666666666668	16.266666666666666	4.666666666666667	2013-07-25	HIGH	SE633043-193300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.9878172588832486	(0, 'SE633043-193300')	0.9908629441624364
3	0.57	15.466666666666669	16.72	4.1	2014-07-07	HIGH	SE633043-193300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	1.0	(1, 'SE633043-193300')	1.0810344827586205
3	0.5933333333333333	16.89666666666667	17.386666666666667	3.266666666666667	2015-08-05	HIGH	SE633043-193300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	1.0	(2, 'SE633043-193300')	1.0289998027224303
3	0.7233333333333333	15.933333333333332	14.998000000000005	7.47	2013-07-02	HIGH	SE552170-130626	07 - Skånes kustvatten	2013	0.9161386730424393	(0, 'SE552170-130626')	0.9412970711297075
3	0.6033333333333334	16.4	14.998000000000005	7.44	2013-08-07	HIGH	SE552170-130626	07 - Skånes kustvatten	2013	0.8778745644599308	(1, 'SE552170-130626')	0.9145121951219516
3	0.73	16.633333333333333	14.998000000000005	7.516666666666666	2013-08-28	HIGH	SE552170-130626	07 - Skånes kustvatten	2013	0.8595476667620962	(2, 'SE552170-130626')	0.9016833667334673
3	0.6533333333333333	15.233333333333334	14.998000000000005	7.753333333333333	2014-07-03	HIGH	SE552170-130626	07 - Skånes kustvatten	2014	0.977930603313536	(3, 'SE552170-130626')	0.9845514223194751
3	1.4766666666666666	19.53333333333333	14.998000000000005	7.586666666666666	2014-08-13	MODERATE	SE552170-130626	07 - Skånes kustvatten	2014	0.598014272417003	(4, 'SE552170-130626')	0.7678156996587033
3	0.98	18.366666666666667	14.998000000000005	8.226666666666667	2015-07-02	GOOD	SE552170-130626	07 - Skånes kustvatten	2015	0.7035289372857435	(5, 'SE552170-130626')	0.8165880217785846
3	0.98	18.8	14.998000000000005	8.076666666666666	2015-08-06	GOOD	SE552170-130626	07 - Skånes kustvatten	2015	0.661702127659575	(6, 'SE552170-130626')	0.7977659574468088
6	0.24666666666666667	16.650000000000002	13.011666666666667	15.953333333333333	2013-06-05	GOOD	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2013	0.6229629629629626	(0, 'SE562000-123800')	0.7814814814814813
6	1.746666666666667	19.13333333333333	13.18125	15.274999999999999	2013-07-01	MODERATE	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2013	0.5189155052264811	(1, 'SE562000-123800')	0.688915505226481
6	0.21	17.150000000000002	13.110833333333334	15.556666666666667	2013-08-05	MODERATE	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2013	0.5944800777453838	(2, 'SE562000-123800')	0.7644800777453838
6	0.21	18.46666666666667	13.87875	12.485	2013-08-29	MODERATE	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2013	0.581556859205776	(3, 'SE562000-123800')	0.7515568592057761
6	0.21	14.883333333333333	13.27375	14.905	2014-06-02	HIGH	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2014	0.8336204668791455	(4, 'SE562000-123800')	0.8918533034714445
6	0.6866666666666666	16.3	13.064166666666667	15.743333333333334	2014-07-01	GOOD	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2014	0.6629652351738241	(5, 'SE562000-123800')	0.8014826175869121
6	0.4283333333333334	13.283333333333333	12.607083333333334	17.571666666666665	2014-08-14	HIGH	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2014	0.9216774442621369	(6, 'SE562000-123800')	0.949090338770389
6	4.008333333333334	20.583333333333332	12.670416666666666	17.318333333333335	2015-06-05	MODERATE	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2015	0.4455668016194333	(7, 'SE562000-123800')	0.6155668016194332
6	0.6166666666666667	18.8	12.945	16.220000000000002	2015-06-30	MODERATE	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2015	0.5185638297872341	(8, 'SE562000-123800')	0.6885638297872341
6	0.235	16.316666666666666	12.425833333333333	18.296666666666667	2015-08-03	MODERATE	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2015	0.5915423901940755	(9, 'SE562000-123800')	0.7615423901940755
6	2.08	19.516666666666666	12.7225	17.11	2015-08-31	MODERATE	SE562000-123800	05 - Södra Hallands och norra Öresunds kustvatten	2015	0.48187873612297194	(10, 'SE562000-123800')	0.6518787361229719
1	0.26	27.12	17.01483	4.49	2013-07-09	MODERATE	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.46126407884151244	(0, 'SE591400-183200')	0.6273904867256637
1	0.11	26.19	16.65492	4.76	2013-08-22	MODERATE	SE591400-183200	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013	0.4690242632510674	(1, 'SE591400-183200')	0.6359266895761742
