DEPH_count	PHOS	PTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_PHOS	index_column	local_EQR
3	0.7333333333333334	1.3066666666666666	0.498	7.643666666666667	2015-12-12	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015	0.28890306122448983		(18, 'SE561400-161201')	0.38112244897959185
3	0.9766666666666666	1.5433333333333332	0.498	7.845666666666666	2016-01-13	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.21584773218142553		(19, 'SE561400-161201')	0.3226781857451404
1	1.08	1.28	0.498	7.4	2016-01-14	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.298828125		(20, 'SE561400-161201')	0.3890625
3	1.0833333333333333	1.5633333333333335	0.498	7.553333333333334	2016-02-21	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.21068763326226014		(21, 'SE561400-161201')	0.3185501066098081
1	0.953	1.31	0.498	7.5	2016-02-24	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.2876908396946565		(22, 'SE561400-161201')	0.38015267175572515
3	0.61	1.0933333333333335	0.49688	6.919999999999999	2016-12-09	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.38057926829268285		(23, 'SE561400-161201')	0.45446341463414625
2	0.6114999999999999	0.925	0.49520000000000003	6.800000000000001	2016-12-14	MODERATE	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.4594103194103195		(24, 'SE561400-161201')	0.5353513513513514
3	0.7766666666666667	1.2700000000000002	0.498	7.316666666666666	2017-01-14	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2017	0.3026574803149606		(25, 'SE561400-161201')	0.39212598425196843
3	0.07333333333333335	0.21333333333333335	0.294607	1.849	2013-01-15	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	1.0		(0, 'SE654470-222700')	1.3809703125
3	0.04	0.20333333333333337	0.264682	2.374	2013-12-04	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	1.0		(1, 'SE654470-222700')	1.3017147540983602
3	0.09666666666666668	0.23	0.320599	1.393	2014-01-16	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	1.0		(2, 'SE654470-222700')	1.393908695652174
3	0.043333333333333335	0.21	0.269451	2.2903333333333333	2014-12-03	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	1.0		(3, 'SE654470-222700')	1.2831000000000001
3	0.06	0.19666666666666668	0.26890000000000003	2.3	2015-01-14	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(4, 'SE654470-222700')	1.3672881355932203
3	0.08666666666666667	0.19666666666666668	0.31355	1.5166666666666668	2015-02-11	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(5, 'SE654470-222700')	1.5943220338983048
3	0.07	0.24333333333333332	0.28913500000000003	1.9450000000000003	2015-12-02	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(6, 'SE654470-222700')	1.1882260273972605
3	0.08	0.15	0.274144	2.208	2016-01-27	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0		(7, 'SE654470-222700')	1.8276266666666667
3	0.03666666666666667	0.25333333333333335	0.28600000000000003	2.0	2016-11-09	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0		(8, 'SE654470-222700')	1.1289473684210527
3	0.05000000000000001	0.19333333333333336	0.28600000000000003	2.0	2016-12-07	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0		(9, 'SE654470-222700')	1.4793103448275862
3	0.18000000000000002	0.34	0.33785333333333334	3.1073333333333335	2013-01-15	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.9942602495543672		(0, 'SE633000-195000')	0.9936862745098038
