DEPH_count	PHOS	PTOT	REFERENCE_VALUE	SALT	SDATE	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	highest_PHOS	index_column	local_EQR
1	1.08	1.28	0.249	7.4	2016-01-14	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.15900383141762453		(20, 'SE561400-161201')	0.23055555555555554
3	1.0833333333333333	1.5633333333333335	0.249	7.553333333333334	2016-02-21	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.1585145888594165		(21, 'SE561400-161201')	0.22984615384615387
1	0.953	1.31	0.249	7.5	2016-02-24	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.18019321923508344		(22, 'SE561400-161201')	0.26128016789087094
3	0.61	1.0933333333333335	0.24844	6.919999999999999	2016-12-09	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.3465983606557377		(23, 'SE561400-161201')	0.40727868852459015
2	0.6114999999999999	0.925	0.24760000000000001	6.800000000000001	2016-12-14	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016	0.3436324611610795		(24, 'SE561400-161201')	0.40490596892886355
3	0.7766666666666667	1.2700000000000002	0.249	7.316666666666666	2017-01-14	POOR	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2017	0.23825107296137338		(25, 'SE561400-161201')	0.3206008583690987
3	0.92		0.249	7.2299999999999995	2017-02-15	BAD	SE561400-161201	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2017	0.18665667166416794		(26, 'SE561400-161201')	0.27065217391304347
3	0.07333333333333335	0.21333333333333335	0.146379	1.849	2013-01-15	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	1.0		(0, 'SE654470-222700')	1.9960772727272724
3	0.04	0.20333333333333337	0.131154	2.374	2013-12-04	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2013	1.0		(1, 'SE654470-222700')	3.27885
3	0.09666666666666668	0.23	0.159603	1.393	2014-01-16	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	1.0		(2, 'SE654470-222700')	1.651065517241379
3	0.043333333333333335	0.21	0.13358033333333336	2.2903333333333333	2014-12-03	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2014	1.0		(3, 'SE654470-222700')	3.082623076923077
3	0.06	0.19666666666666668	0.13330000000000003	2.3	2015-01-14	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(4, 'SE654470-222700')	2.221666666666667
3	0.08666666666666667	0.19666666666666668	0.15601666666666666	1.5166666666666668	2015-02-11	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(5, 'SE654470-222700')	1.8001923076923076
3	0.07	0.24333333333333332	0.143595	1.9450000000000003	2015-12-02	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(6, 'SE654470-222700')	2.051357142857143
1	0.08	0.19	0.131995	2.345	2016-01-27	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0		(7, 'SE654470-222700')	1.6499375
3	0.03666666666666667	0.25333333333333335	0.14200000000000002	2.0	2016-11-09	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0		(8, 'SE654470-222700')	3.872727272727273
3	0.05000000000000001	0.19333333333333336	0.14200000000000002	2.0	2016-12-07	HIGH	SE654470-222700	22 - Norra Bottenviken. Inre kustvatten	2016	1.0		(9, 'SE654470-222700')	2.84
3	0.18000000000000002	0.34	0.16892666666666667	3.1073333333333335	2013-01-15	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.9316460905349794		(0, 'SE633000-195000')	0.9384814814814814
3	0.21	0.41333333333333333	0.15875333333333333	4.124666666666667	2013-02-26	GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.7085260770975057		(1, 'SE633000-195000')	0.755968253968254
3	0.59	0.7533333333333333	0.15000000000000002	5.293666666666667	2013-12-03	BAD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2013	0.1753360607831678		(2, 'SE633000-195000')	0.25423728813559326
3	0.32	0.48333333333333334	0.157975	4.202500000000001	2014-01-15	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.43797554347826084		(3, 'SE633000-195000')	0.493671875
3	0.15333333333333332	0.31	0.16331	3.669	2014-02-13	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	1.0		(4, 'SE633000-195000')	1.0650652173913044
3	0.14333333333333334	0.33	0.16869333333333336	3.1306666666666665	2014-02-27	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	1.0		(5, 'SE633000-195000')	1.1769302325581397
3	0.22666666666666668	0.4466666666666667	0.1589066666666667	4.109333333333333	2014-12-01	GOOD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2014	0.6300840336134454		(6, 'SE633000-195000')	0.7010588235294118
3	0.4466666666666667	0.6699999999999999	0.15000000000000002	5.066666666666667	2015-01-12	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.2572761194029851		(7, 'SE633000-195000')	0.3358208955223881
3	0.39333333333333337	0.5333333333333333	0.15000000000000002	5.09	2015-02-09	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.3141949152542374		(8, 'SE633000-195000')	0.38135593220338987
3	0.39333333333333337	0.68			2015-02-24	BAD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015			(9, 'SE633000-195000')	
3	0.14666666666666667	0.3633333333333333	0.15879000000000001	4.1209999999999996	2015-11-04	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	1.0		(10, 'SE633000-195000')	1.082659090909091
3	0.49666666666666665	0.7399999999999999	0.15389000000000003	4.611	2015-11-30	POOR	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2015	0.22480704697986587		(11, 'SE633000-195000')	0.30984563758389266
3	0.3466666666666667	0.51	0.15675333333333336	4.324666666666666	2016-01-25	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.40188963210702344		(12, 'SE633000-195000')	0.45217307692307696
3	0.34	0.49	0.1562	4.38	2016-02-22	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.4081841432225064		(13, 'SE633000-195000')	0.45941176470588235
3	0.19333333333333336	0.4466666666666667	0.15983333333333333	4.016666666666667	2016-11-07	HIGH	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.8074712643678161		(14, 'SE633000-195000')	0.8267241379310344
3	0.3033333333333333	0.5533333333333333	0.16165000000000002	3.8349999999999995	2016-11-21	MODERATE	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.47209746774964173		(15, 'SE633000-195000')	0.532912087912088
3	0.9499999999999998	1.2366666666666666	0.15000000000000002	5.456	2016-12-05	BAD	SE633000-195000	20 - Norra Kvarkens inre kustvatten	2016	0.10889292196007264		(16, 'SE633000-195000')	0.1578947368421053
3	0.25666666666666665	0.42	0.2	4.730666666666667	2013-01-15	GOOD	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.768031968031968		(0, 'SE625180-181655')	0.7792207792207793
3	0.30666666666666664	0.5066666666666667	0.2	5.029333333333334	2013-02-12	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.584499054820416		(1, 'SE625180-181655')	0.6521739130434784
3	0.3933333333333333	0.59	0.2	5.382000000000001	2013-12-02	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2013	0.4595431098010318		(2, 'SE625180-181655')	0.5084745762711865
3	0.4066666666666667	0.5866666666666666	0.2	5.046666666666667	2014-01-13	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.4450463292943692		(3, 'SE625180-181655')	0.4918032786885246
3	0.37333333333333335	0.55	0.2	4.503666666666667	2014-02-11	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.4832298136645963		(4, 'SE625180-181655')	0.5357142857142857
3	0.26	0.45	0.2	5.004	2014-12-01	GOOD	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2014	0.7526627218934911		(5, 'SE625180-181655')	0.7692307692307693
3	0.39666666666666667	0.62	0.2	5.31	2015-01-12	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.45582754841066864		(6, 'SE625180-181655')	0.5042016806722689
3	0.4166666666666667	0.5766666666666667	0.2	5.16	2015-02-09	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.43478260869565216		(7, 'SE625180-181655')	0.48
3	0.2333333333333333	0.42	0.2	4.824333333333333	2015-11-30	HIGH	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.8571428571428573		(8, 'SE625180-181655')	0.8571428571428573
3	0.3233333333333333	0.5033333333333333	0.2	4.736666666666667	2016-01-25	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.555266696548633		(9, 'SE625180-181655')	0.618556701030928
3	0.42	0.5633333333333334	0.2	5.087	2016-02-22	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.4314699792960663		(10, 'SE625180-181655')	0.4761904761904762
3	0.09666666666666668	0.34	0.2	4.882666666666667	2016-11-07	HIGH	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	1.0		(11, 'SE625180-181655')	2.068965517241379
3	0.3033333333333333	0.5333333333333333	0.2	4.956333333333333	2016-12-05	MODERATE	SE625180-181655	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.5907310081223125		(12, 'SE625180-181655')	0.6593406593406594
3	0.09666666666666668	0.18000000000000002	0.1507	1.7	2015-02-11	HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(0, 'SE654820-222660')	1.5589655172413792
3	0.07	0.21333333333333335	0.15116400000000002	1.684	2015-12-02	HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2015	1.0		(1, 'SE654820-222660')	2.1594857142857142
3	0.04666666666666667	0.26333333333333336	0.14200000000000002	2.0	2016-11-09	HIGH	SE654820-222660	22 - Norra Bottenviken. Inre kustvatten	2016	1.0		(2, 'SE654820-222660')	3.042857142857143
6	0.29166666666666663	0.44	0.2	3.219	2015-02-18	GOOD	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.6241758241758243		(0, 'SE625000-180075')	0.6857142857142858
6	0.2783333333333333	0.4383333333333333	0.2	3.498333333333333	2016-02-16	GOOD	SE625000-180075	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2016	0.6747121142330724		(1, 'SE625000-180075')	0.7185628742514971
1	0.42	0.63	0.2	5.0	2015-02-25	MODERATE	SE628750-183300	18 - Norra Bottenhavet. Höga kusten. Inre kustvatten	2015	0.4314699792960663		(0, 'SE628750-183300')	0.4761904761904762
