DEPH	DOXY	MONTH	POSITION	SDATE	STATN	VISS_EU_CD	WATER_TYPE_AREA	YEAR	index_column	new_index	source_DOXY
40.0	4.69	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5558	5558_SE581700-113000	DOXY_BTL
50.0	3.28	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5559	5559_SE581700-113000	DOXY_BTL
72.0	2.7	9	58.26_11.43	2017-09-18	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5560	5560_SE581700-113000	DOXY_BTL
0.0	6.04	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5604	5604_SE581700-113000	DOXY_BTL
2.0	5.79	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5605	5605_SE581700-113000	DOXY_BTL
5.0	4.38	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5606	5606_SE581700-113000	DOXY_BTL
10.0	4.11	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5607	5607_SE581700-113000	DOXY_BTL
15.0	3.99	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5608	5608_SE581700-113000	DOXY_BTL
20.0	3.99	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5609	5609_SE581700-113000	DOXY_BTL
30.0	3.95	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5610	5610_SE581700-113000	DOXY_BTL
40.0	3.99	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5611	5611_SE581700-113000	DOXY_BTL
50.0	3.95	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5612	5612_SE581700-113000	DOXY_BTL
60.0	2.98	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5613	5613_SE581700-113000	DOXY_BTL
70.0	2.28	9	58.39_11.63	2017-09-05	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5614	5614_SE581700-113000	DOXY_BTL
0.0	6.0	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5725	5725_SE581700-113000	DOXY_BTL
2.0	5.96	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5726	5726_SE581700-113000	DOXY_BTL
5.0	5.96	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5727	5727_SE581700-113000	DOXY_BTL
10.0	5.37	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5728	5728_SE581700-113000	DOXY_BTL
15.0	4.9	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5729	5729_SE581700-113000	DOXY_BTL
20.0	4.8	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5730	5730_SE581700-113000	DOXY_BTL
30.0	4.45	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5731	5731_SE581700-113000	DOXY_BTL
40.0	4.3	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5732	5732_SE581700-113000	DOXY_BTL
50.0	4.41	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5733	5733_SE581700-113000	DOXY_BTL
60.0	3.87	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5734	5734_SE581700-113000	DOXY_BTL
71.0	2.69	8	58.39_11.63	2017-08-01	BJÖRKHOLMEN	SE581700-113000	02 - Västkustens fjordar	2017	5735	5735_SE581700-113000	DOXY_BTL
0.0	5.93	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5841	5841_SE581700-113000	DOXY_BTL
5.0	5.95	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5842	5842_SE581700-113000	DOXY_BTL
10.0	5.94	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5843	5843_SE581700-113000	DOXY_BTL
15.0	5.58	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5844	5844_SE581700-113000	DOXY_BTL
20.0	5.25	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5845	5845_SE581700-113000	DOXY_BTL
30.0	5.1	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5846	5846_SE581700-113000	DOXY_BTL
40.0	4.8	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5847	5847_SE581700-113000	DOXY_BTL
50.0	3.66	7	58.26_11.44	2017-07-14	SLÄGGÖ	SE581700-113000	02 - Västkustens fjordar	2017	5848	5848_SE581700-113000	DOXY_BTL
