AMON	DATE_count	DIN	NTOT	NTRA	NTRI	NTRZ	SALT	STATUS	VISS_EU_CD	WATER_TYPE_AREA	YEAR	global_EQR	index_column	local_EQR	max	min	new_index	number_of_dates
	2.0	5.335					7.4	MODERATE	SE572500-164500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.5190677072347603	1	0.5809744779582362			1_SE572500-164500	
	2.0	4.515					7.0	GOOD	SE572500-164500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.6616382501258953	2	0.710064862581832			2_SE572500-164500	
	2.0	20.5275					2.1999999999999997	POOR	SE583718-161687	13 - Östergötlands inre kustvatten	2013.0	0.37933466828975254	0	0.4245010012173144			0_SE583718-161687	
	2.0	14.495					3.2	POOR	SE583718-161687	13 - Östergötlands inre kustvatten	2014.0	0.3614799994119969	1	0.41110999955899763			1_SE583718-161687	
	2.0	12.02					4.35	POOR	SE583718-161687	13 - Östergötlands inre kustvatten	2015.0	0.3193966045428469	2	0.37954745340713514			2_SE583718-161687	
	2.0	8.0925					5.25	POOR	SE583718-161687	13 - Östergötlands inre kustvatten	2016.0	0.381223902333489	3	0.42591792675011675			3_SE583718-161687	
	2.0	17.09					3.6	POOR	SE583926-161744	13 - Östergötlands inre kustvatten	2013.0	0.2643693800147816	0	0.3382770350110862			0_SE583926-161744	
	2.0	11.933333333333334					3.65	POOR	SE583926-161744	13 - Östergötlands inre kustvatten	2014.0	0.38204792924053155	1	0.42653594693039865			1_SE583926-161744	
	2.0	9.040000000000001					6.074999999999999	BAD	SE583926-161744	13 - Östergötlands inre kustvatten	2015.0	0.19391306302054115	2	0.28117394137978463			2_SE583926-161744	
	2.0	6.948333333333332					5.966666666666667	POOR	SE583926-161744	13 - Östergötlands inre kustvatten	2016.0	0.3456831131669589	3	0.3992623348752191			3_SE583926-161744	
	2.0	8.266666666666666					5.0	MODERATE	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2013.0	0.41814045392029525	0	0.4608615220083395			0_SE583000-165600	
	2.0	5.571666666666667					6.05	MODERATE	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2014.0	0.4107531357633234	1	0.4523661061278219			1_SE583000-165600	
	2.0	6.555					6.45	POOR	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2015.0	0.35054739285222564	2	0.4029105446391692			2_SE583000-165600	
	2.0	5.0					6.466666666666667	MODERATE	SE583000-165600	12n - Östergötlands och Stockholms skärgård. Mellankustvatten	2016.0	0.48802489764660617	3	0.5412286322935971			3_SE583000-165600	
	3.0	10.601666666666667					6.033333333333334	GOOD	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.669087363486948	0	0.7149067862665163			0_SE560940-151740	
	3.0	6.613333333333333					7.183333333333334	MODERATE	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2014.0	0.40964476643474396	1	0.4606092430782183			1_SE560940-151740	
	3.0	7.523333333333333					7.566666666666667	POOR	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.2940825405963856	2	0.3652660324771085			2_SE560940-151740	
	3.0	5.608333333333333					7.416666666666667	MODERATE	SE560940-151740	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.5485602022463599	3	0.6134162224709959			3_SE560940-151740	
	3.0	7.0					7.0	MODERATE	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.41589065302847267	0	0.4674797183313199			0_SE560500-154880	
	3.0	7.4799999999999995					7.050000000000001	POOR	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2014.0	0.39691194578881295	1	0.4475295566310504			1_SE560500-154880	
	3.0	5.486666666666667					7.733333333333333	MODERATE	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.43442063195789593	2	0.4878626951536855			2_SE560500-154880	
	3.0	4.1066666666666665					7.800000000000001	GOOD	SE560500-154880	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.6192613725460431	3	0.682519892154928			3_SE560500-154880	
	3.0	7.495					6.8999999999999995	MODERATE	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.4462045116311369	0	0.5008249627942506			0_SE560810-153980	
	3.0	8.896666666666667					6.8500000000000005	POOR	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2014.0	0.31842227419479585	1	0.3847378193558367			1_SE560810-153980	
	3.0	12.383333333333335					7.033333333333334	POOR	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.21977747561080874	2	0.30582198048864695			2_SE560810-153980	
	3.0	2.893333333333334					7.885000000000001	GOOD	SE560810-153980	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.7532269365910764	3	0.7695975087841997			3_SE560810-153980	
	3.0	5.625					7.066666666666667	MODERATE	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.5310419589254392	0	0.594146154817983			0_SE560780-153500	
	3.0	6.933333333333334					7.1000000000000005	POOR	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2014.0	0.37125394584098204	1	0.4270031566727856			1_SE560780-153500	
	3.0	8.635					7.2	POOR	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.2994187319108973	2	0.36953498552871783			2_SE560780-153500	
	3.0	3.7483333333333335					7.523333333333333	GOOD	SE560780-153500	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.6313485253949983	3	0.690376541506749			3_SE560780-153500	
	3.0	22.566666666666666					6.183333333333334	POOR	SE560795-154730	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.2672783290954011	0	0.3438226632763209			0_SE560795-154730	
	3.0	16.435000000000002					6.800000000000001	BAD	SE560795-154730	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2014.0	0.17670579129424957	1	0.25622339737666183			1_SE560795-154730	
	3.0	26.431666666666672					6.933333333333334	BAD	SE560795-154730	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.13206984253430157	2	0.19150127167473727			2_SE560795-154730	
	3.0	16.118333333333336					7.532500000000001	BAD	SE560795-154730	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.17387335087785027	3	0.25211635877288285			3_SE560795-154730	
	2.0	5.795					7.15	MODERATE	SE560775-153055	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2013.0	0.5312922297827954	0	0.5944214527610749			0_SE560775-153055	
	3.0	6.173333333333333					7.183333333333334	MODERATE	SE560775-153055	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2014.0	0.41808225386593273	1	0.46989047925252597			1_SE560775-153055	
	3.0	8.343333333333334					7.25	POOR	SE560775-153055	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2015.0	0.32215940100095114	2	0.3877275208007609			2_SE560775-153055	
	3.0	3.783333333333333					7.646666666666667	MODERATE	SE560775-153055	08 - Blekinge skärgård och Kalmarsund. Inre kustvatten	2016.0	0.5763852581260703	3	0.6440237839386773			3_SE560775-153055	
	2.0	3.1224999999999996					7.35	HIGH	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2013.0	0.802704173297058	0	0.802704173297058			0_SE560700-155801	
	3.0	5.385000000000001					7.3999999999999995	MODERATE	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2014.0	0.4655526106660795	1	0.5221078717326875			1_SE560700-155801	
	3.0	4.873333333333333					7.566666666666666	MODERATE	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2015.0	0.5126902153788502	2	0.5739592369167351			2_SE560700-155801	
	3.0	3.6616666666666666					7.756666666666667	GOOD	SE560700-155801	09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten	2016.0	0.6554537484525691	3	0.70604493649417			3_SE560700-155801	
	2.0	10.559999999999999					4.65	POOR	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013.0	0.3655778216403257	0	0.41418336623024427			0_SE582460-164500	
	2.0	7.688333333333333					5.949999999999999	POOR	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2014.0	0.2964846938405446	1	0.3623635203804084			1_SE582460-164500	
	2.0	8.48					6.2	POOR	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2015.0	0.2817476452119311	2	0.3513107339089483			2_SE582460-164500	
	1.0	0.2833333333333333					6.166666666666667	HIGH	SE582460-164500	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2016.0	1.0	3	1.0			3_SE582460-164500	
	2.0	5.211666666666667					6.449999999999999	MODERATE	SE581520-165000	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2013.0	0.5058035195241094	0	0.5563838714765204			0_SE581520-165000	
	2.0	4.386666666666667					6.6	MODERATE	SE581520-165000	12s - Östergötlands och Stockholms skärgård. Mellankustvatten	2014.0	0.5214599859549888	1	0.5736059845504876			1_SE581520-165000	
