Area below limit %	COMMENT	DEFICIENCY_TYPE	GLOBAL_EQR	LIMIT	O2 conc test1	O2 conc test2	STATUS	VISS_EU_CD	WATER_BODY_NAME	WATER_TYPE_AREA	index_column	new_index	test1_month_list	test1_no_yr	test2_month_list	test2_no_yr	test2_ok	total_month_list	total_no_yr
0.0		no_deficiency	1.0	3.5	7.8575	7.8575	HIGH	SE636570-203590	Fjärdgrundsområdet sek namn	20	0	0_SE636570-203590	[8 7 6 3 4]	3	[3 4]	3	True	[8 7 6 3 4]	3
0.0		no_deficiency	1.0	3.5	4.76	4.76	HIGH	SE633043-193300	Nordmalingsfjärden	18	0	0_SE633043-193300	[8 7 2]	3	[2]	1	False	[8 7 2]	3
0.0		no_deficiency	1.0	3.5	6.59	6.59	HIGH	SE552170-130626	Ö sydkustens kustvatten	7	0	0_SE552170-130626	[10  9  8  7  5  4  3  2  1]	3	[5 4 3 2 1]	3	True	[10  9  8  7  5  4  3  2  1]	3
75.42278111925098		seasonal	0.9775172413793104	3.5	3.26	3.26	HIGH	SE562000-123800	Skälderviken	5	0	0_SE562000-123800	[ 1 12 11 10  8  6  5  4  3  2  9  7]	4	[1 5 4 3 2]	4	True	[ 1 12 11 10  8  6  5  4  3  2  9  7]	4
94.87179487179486	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.21400000000000002	3.5	0.07	0.07	POOR	SE591400-183200	Björnöfjärden	12-n	0	0_SE591400-183200	[12 11  9  8  7  6  5  4  3  2  1 10]	3	[5 4 3 2 1]	3	True	[12 11  9  8  7  6  5  4  3  2  1 10]	3
88.2338231717861		seasonal	0.7617857142857143	3.5	3.2325	3.2325	GOOD	SE591200-183600	Nämdöfjärden	12-n	0	0_SE591200-183600	[ 8  7 12 11  9  6  5  4  3 10  2  1]	4	[5 4 3 2 1]	3	True	[ 8  7 12 11  9  6  5  4  3 10  2  1]	4
7.534532197376585	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.7260714285714286	3.5	2.9825	2.9825	GOOD	SE600740-183460	Edeboviken	16	0	0_SE600740-183460	[8 7]	3	[]	0	False	[8 7]	3
0.0		no_deficiency	1.0	3.5	3.9650000000000003	3.9650000000000003	HIGH	SE601070-182870	Hargsviken	16	0	0_SE601070-182870	[8 7]	3	[]	0	False	[8 7]	3
0.0		no_deficiency	1.0	3.5	4.779999999999999	4.779999999999999	HIGH	SE631610-184500	Örnsköldsviksfjärden	18	0	0_SE631610-184500	[9]	1	[]	0	False	[9]	1
0.0		no_deficiency	1.0	3.5	6.999999999999999	6.999999999999999	HIGH	SE622339-172190	Sundsvallsfjärden	18	0	0_SE622339-172190	[8 3 6 9 2]	3	[3 2]	3	True	[8 3 6 9 2]	3
0.0		no_deficiency	1.0	3.5	4.0600000000000005	4.0600000000000005	HIGH	SE656620-222480	Granöfjärden	22	0	0_SE656620-222480	[8 7 3 2]	1	[3 2]	1	False	[8 7 3 2]	1
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.79	3.5	3.43	3.43	GOOD	SE656300-222750	Mulöviken	22	0	0_SE656300-222750	[8 7 3 2]	1	[3 2]	1	False	[8 7 3 2]	1
77.17148575840612	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.7175	3.5	2.9225000000000003	2.9225000000000003	GOOD	SE655120-220380	Måttsundsfjärden	22	0	0_SE655120-220380	[8 7 3 2]	1	[3 2]	1	False	[8 7 3 2]	1
0.0	no classboundaries defined for longterm deficieny in this waterbody, using definition of seasonal deficiency	longterm	0.40272727272727277	3.5	1.0150000000000001	1.0150000000000001	MODERATE	SE655180-218660	Möröfjärden	22	0	0_SE655180-218660	[8 7 3 2]	1	[3 2]	1	False	[8 7 3 2]	1
0.0		no_deficiency	1.0	3.5	5.215	5.215	HIGH	SE636150-199220	Megrundsområdet	20	0	0_SE636150-199220	[8 7 6 3 2]	3	[3 2]	2	False	[8 7 6 3 2]	3
0.0		no_deficiency	1.0	3.5	5.0	5.0	HIGH	SE635040-204196	Ostnäsfjärden	20	0	0_SE635040-204196	[8 7 3 2]	1	[3 2]	1	False	[8 7 3 2]	1
0.0		no_deficiency	1.0	3.5	5.52	5.52	HIGH	SE637070-204260	Raggavaviken	20	0	0_SE637070-204260	[8 7 4 2]	1	[4 2]	1	False	[8 7 4 2]	1
50.902274926432476		no_deficiency	1.0	3.5	4.375	4.375	HIGH	SE636910-204040	Österlångslädan	20	0	0_SE636910-204040	[8 7 3 2]	1	[3 2]	1	False	[8 7 3 2]	1
0.0		no_deficiency	1.0	3.5	5.5725	5.5725	HIGH	SE602120-181610	Kallriga Fjärden	16	0	0_SE602120-181610	[8 7]	3	[]	0	False	[8 7]	3
76.69148538231407		longterm	0.22594473248451963	3.5	0.0	0.0	BAD	SE582000-115270	Byfjorden	2	0	0_SE582000-115270	[12 11 10  9  8  7  6  5  4  2  1  3]	5	[5 4 2 1 3]	5	True	[12 11 10  9  8  7  6  5  4  2  1  3]	5
71.81206852724286		longterm	0.3631388129602198	3.5	0.6	0.6	BAD	SE581740-114820	Havstensfjorden	2	0	0_SE581740-114820	[12 11 10  9  8  7  6  5  4  3  2  1]	5	[5 4 3 2 1]	5	True	[12 11 10  9  8  7  6  5  4  3  2  1]	5
43.092503375052466		no_deficiency	1.0	3.5	5.33	5.33	HIGH	SE563330-124600	Laholmsbukten	5	0	0_SE563330-124600	[12 11 10  8  7  6  5  4  3  2  1  9]	3	[5 4 3 2 1]	3	True	[12 11 10  8  7  6  5  4  3  2  1  9]	3
54.78568700318248		no_deficiency	1.0	3.5	4.51	4.51	HIGH	SE575340-113000	Marstrandsfjorden	3	0	0_SE575340-113000	[12 11 10  9  8  7  6  5  4  3  2  1]	5	[5 4 3 2 1]	5	True	[12 11 10  9  8  7  6  5  4  3  2  1]	5
0.0		no_deficiency	1.0	3.5	6.2775	6.2775	HIGH	SE654500-232000	Repskärsfjärden	22	0	0_SE654500-232000	[9 8 6 3 5]	3	[3 5]	3	True	[9 8 6 3 5]	3
21.033822339753122		no_deficiency	1.0	3.5	4.5	4.5	HIGH	SE582000-112350	Yttre Brofjorden	1-n	0	0_SE582000-112350	[12 11 10  9  8  7  6  5  4  3  2  1]	5	[5 4 3 2 1]	5	True	[12 11 10  9  8  7  6  5  4  3  2  1]	5
