VISS_EU_CD	local_EQR	PHOS	SALT	YEAR_count	WATER_TYPE_AREA	PTOT	global_EQR	STATUS	index_column
SE555545-124332	0.46259588185349143	0.702	14.490533333333332	5	['06 - Öresunds kustvatten']	1.072	0.41964859291607953	MODERATE	(0, 'SE555545-124332')
SE561005-150250	0.4589988543803401	0.5604166666666667	7.5179166666666655	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9241666666666667	0.4085703375050858	MODERATE	(0, 'SE561005-150250')
SE580610-113615	0.9947025781848752	0.523888888888889	24.88361111111111	3	['01n - Västkustens inre kustvatten']	0.9344444444444444	0.9947025781848753	HIGH	(0, 'SE580610-113615')
SE580325-113500	1.0161653292957473	0.52	25.811666666666667	3	['01n - Västkustens inre kustvatten']	0.8755555555555556	1.0	HIGH	(0, 'SE580325-113500')
SE580500-114725	0.8087108102886792	0.65	26.334999999999997	3	['02 - Västkustens fjordar']	1.0175	0.8087108102886792	HIGH	(0, 'SE580500-114725')
SE581120-112680	0.9466220735785953	0.5516666666666666	27.97	3	['02 - Västkustens fjordar']	1.0283333333333333	0.9466220735785953	HIGH	(0, 'SE581120-112680')
SE581365-112910	0.6055729390488469	0.9783333333333334	25.733333333333334	3	['02 - Västkustens fjordar']	1.125	0.55052085368077	MODERATE	(0, 'SE581365-112910')
SE584750-111185	1.0828955941770648	0.49333333333333335	28.397499999999997	3	['01n - Västkustens inre kustvatten']	0.7767499999999999	1.0	HIGH	(0, 'SE584750-111185')
SE584890-110950	1.066512579174404	0.4791666666666667	25.245	3	['01n - Västkustens inre kustvatten']	0.9956666666666667	1.0	HIGH	(0, 'SE584890-110950')
SE582630-113515	0.48303014974429853	0.9466666666666667	17.958333333333332	3	['02 - Västkustens fjordar']	1.5566666666666666	0.4391183179493623	MODERATE	(0, 'SE582630-113515')
SE584450-111445	0.8530334455761395	0.6	28.045833333333334	3	['01n - Västkustens inre kustvatten']	0.888	0.8530334455761395	HIGH	(0, 'SE584450-111445')
SE584670-111300	0.9938342478583007	0.5233333333333334	28.461666666666662	3	['01n - Västkustens inre kustvatten']	0.7919999999999999	0.9938342478583007	HIGH	(0, 'SE584670-111300')
SE582150-112530	0.6563901747756259	0.77	27.575	3	['02 - Västkustens fjordar']	1.2625	0.5967183407051144	MODERATE	(0, 'SE582150-112530')
SE585600-110880	0.9112980522442307	0.5425	26.846527777777776	3	['01n - Västkustens inre kustvatten']	0.8183888888888889	0.9112980522442307	HIGH	(0, 'SE585600-110880')
SE585200-111140	1.0951815054366554	0.4658333333333333	28.100740740740736	3	['01n - Västkustens inre kustvatten']	0.7227777777777779	1.0	HIGH	(0, 'SE585200-111140')
SE583710-111535	0.7669196246811513	0.638611111111111	26.850277777777777	3	['01n - Västkustens inre kustvatten']	1.0888888888888888	0.7527423209730731	GOOD	(0, 'SE583710-111535')
SE582665-111706	0.9234941966838193	0.5675	28.775000000000002	3	['01n - Västkustens inre kustvatten']	1.1075	0.9234941966838193	HIGH	(0, 'SE582665-111706')
SE582850-111760	0.8679767755956415	0.6008333333333332	28.005	3	['01n - Västkustens inre kustvatten']	0.9516666666666667	0.8679767755956415	HIGH	(0, 'SE582850-111760')
SE584030-111400	0.9332859680989257	0.5666666666666667	29.044166666666666	3	['01n - Västkustens inre kustvatten']	1.04875	0.9332859680989257	HIGH	(0, 'SE584030-111400')
SE581853-112736	0.8109956068259607	0.6041666666666667	27.453333333333333	3	['01n - Västkustens inre kustvatten']	1.15125	0.8109956068259607	HIGH	(0, 'SE581853-112736')
SE582230-112255	0.7016635367894372	0.715	27.025833333333335	3	['01n - Västkustens inre kustvatten']	1.0991666666666668	0.6595193382706245	GOOD	(0, 'SE582230-112255')
SE573500-115150	0.7592079207920792	0.505	18.34	1	['01s - Västkustens inre kustvatten']	0.54	0.7218583396801218	GOOD	(0, 'SE573500-115150')
SE585990-111125	0.7896635954135954	0.6174999999999999	24.705	1	['01n - Västkustens inre kustvatten']	0.7330000000000001	0.7852337077337077	GOOD	(0, 'SE585990-111125')
SE570000-120701	0.6464197601547784	0.6112500000000001	21.20325	4	['04 - Västkustens yttre kustvatten. Kattegatt']	1.04	0.5707997914389378	MODERATE	(0, 'SE570000-120701')
SE582700-110451	0.7857213114754098	0.61	25.389999999999997	1	['03 - Västkustens yttre kustvatten. Skagerrak']	1.15	0.7796018735362996	GOOD	(0, 'SE582700-110451')
SE554040-125750	0.4272670248640823	0.7808333333333334	15.645466666666668	5	['06 - Öresunds kustvatten']	1.0526666666666666	0.3830226998187764	POOR	(0, 'SE554040-125750')
SE554500-125001	0.5100355818377885	0.7113333333333333	17.802733333333336	5	['06 - Öresunds kustvatten']	1.0026666666666668	0.4609005059459031	MODERATE	(0, 'SE554500-125001')
SE575150-162700	0.18749782582631497	1.3270833333333334	5.6504166666666675	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.6283333333333334	0.12930884539745863	BAD	(0, 'SE575150-162700')
SE575370-164220	0.3339742648373157	0.8128125	6.725	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.1849999999999998	0.25863235311642097	POOR	(0, 'SE575370-164220')
SE573940-163560	0.35471155675271293	0.8415	4.05625	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.2037499999999999	0.28628207567028396	POOR	(0, 'SE573940-163560')
SE565400-163600	0.33947582354076433	0.7559625	6.8745	4	['09 - Blekinge skärgård och Kalmarsund. Yttre kustvatten']	0.9889375	0.26184477942595547	POOR	(0, 'SE565400-163600')
SE570080-163430	0.9904598722297455	0.393875	6.486875	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.871875	0.9899577602418375	HIGH	(0, 'SE570080-163430')
SE565800-163000	0.39007421439085466	0.6410625	6.655625000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9375	0.32509276798856834	POOR	(0, 'SE565800-163000')
SE570340-163710	0.33457411690861466	0.7589166666666667	6.632499999999999	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9899166666666666	0.25571764613576836	POOR	(0, 'SE570340-163710')
SE570500-163750	0.34627488040003396	0.759125	6.1850000000000005	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.97125	0.27034360050004247	POOR	(0, 'SE570500-163750')
SE573500-163500	0.33123750855106304	0.8576250000000001	5.2425	4	['12s - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.19875	0.25498334473475076	POOR	(0, 'SE573500-163500')
SE563825-161810	0.4554514580303994	0.5708125000000001	6.6312500000000005	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.886875	0.40519186479085656	MODERATE	(0, 'SE563825-161810')
SE564250-162500	0.4736454940343093	0.592	6.826875	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9193749999999998	0.4225195181279136	MODERATE	(0, 'SE564250-162500')
SE659024-162417	0.20903825294492118	1.0886458333333333	2.7664583333333335	4	['24 - Stockholms inre skärgård och Hallsfjärden']	1.4452083333333332	0.1441643123758077	BAD	(0, 'SE659024-162417')
SE572205-163500	0.360978942479124	0.698375	6.7025	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.92625	0.288723678098905	POOR	(0, 'SE572205-163500')
SE571552-162848	0.290662184245347	0.8741249999999999	6.8575	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	1.1237499999999998	0.2008277303066838	POOR	(0, 'SE571552-162848')
SE572500-164500	0.3113220863076296	0.84725	6.9	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	1.03	0.226652607884537	POOR	(0, 'SE572500-164500')
SE583718-161687	0.2332885711418291	1.0425	3.75	4	['13 - Östergötlands inre kustvatten']	1.374875	0.1608886697529856	BAD	(0, 'SE583718-161687')
SE583926-161744	0.21869285041896996	1.1332499999999999	4.822916666666666	4	['13 - Östergötlands inre kustvatten']	1.3720416666666668	0.15082265546135862	BAD	(0, 'SE583926-161744')
SE583000-165600	0.2526497717616032	1.0444166666666668	5.991666666666667	4	['12n - Östergötlands och Stockholms skärgård. Mellankustvatten']	1.255125	0.17424122190455393	BAD	(0, 'SE583000-165600')
SE560940-151740	0.5080501174761687	0.5045833333333334	7.050000000000001	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9216666666666666	0.4552858261677797	MODERATE	(0, 'SE560940-151740')
SE560500-154880	0.4193694326213042	0.5941666666666666	7.395833333333334	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	1.0825	0.3617117907766303	POOR	(0, 'SE560500-154880')
SE560810-153980	0.6576539451531788	0.4320833333333333	7.167083333333334	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9083333333333332	0.5977656620506464	MODERATE	(0, 'SE560810-153980')
SE560780-153500	0.6044549663636332	0.4370833333333333	7.2225	4	['08 - Blekinge skärgård och Kalmarsund. Inre kustvatten']	0.9254166666666667	0.547099967965365	MODERATE	(0, 'SE560780-153500')
