2018-09-19 16:57:07,230	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:07,394	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:07,542	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:07,738	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:07,884	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,023	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,151	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,275	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,415	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,555	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,698	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,826	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:08,979	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:09,111	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:09,272	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:09,425	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:09,630	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:09,782	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:09,864	event_handler.py	52	f	DEBUG	Stop: "request_subset_get_indicator_settings". Time for running method was 4.510258197784424
2018-09-19 16:57:44,060	event_handler.py	109	__init__	DEBUG	Start EventHandler: event_handler
2018-09-19 16:57:44,064	event_handler.py	144	_load_mapping_objects	DEBUG	Loading mapping files from pickle file.
2018-09-19 16:57:45,070	event_handler.py	120	__init__	DEBUG	Time for mapping: 1.0040574073791504
2018-09-19 16:57:45,108	event_handler.py	125	__init__	DEBUG	Time for initiating EventHandler: 1.0470597743988037
2018-09-19 16:57:45,113	event_handler.py	48	f	DEBUG	Start: "request_subset_set_indicator_settings"
2018-09-19 16:57:45,118	event_handler.py	3577	request_subset_set_indicator_settings	DEBUG	Start: request_subset_set_indicator_settings
2018-09-19 16:57:45,161	event_handler.py	2845	load_workspace	DEBUG	Trying to load new workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace"
2018-09-19 16:57:45,759	event_handler.py	2863	load_workspace	INFO	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace loaded."
2018-09-19 16:57:45,915	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:46,048	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
2018-09-19 16:57:46,226	event_handler.py	2856	load_workspace	DEBUG	Workspace "28ac1911-73c8-49ab-b36e-3ae307b46a20" with alias "New test workspace" is already loaded. Set reload=True if you want to reload the workspace.
