TYPE_AREA_NUMBER	TYPE_AREA_SUFFIX	EU_CD	BASIN_NUMBER	HID	NAME	CENTER_LAT	CENTER_LON	URL_VISS
12	n	SE584045-170882	130165.0	584045-170882	Inre Ålöfjärden	"58° 40' 27,424"""	"17° 8' 57,687"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584045-170882
12	n	SE583896-170790	130166.0	583896-170790	Ljungskärsflagen	"58° 38' 57,092"""	"17° 7' 48,035"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583896-170790
12	n	SE583960-170700	130167.0	583960-170700	Oxelösunds hamnområde	"58° 39' 35,809"""	"17° 6' 55,431"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583960-170700
14		SE583121-171401	141001.0	583121-171401	Bråvikens kustvatten	"58° 34' 1,053"""	"17° 15' 37,227"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583121-171401
14		SE581900-171101	141002.0	581900-171101	St Anna skärgårds kustvatten	"58° 22' 43,289"""	"17° 9' 36,773"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581900-171101
12	s	SE583730-164501	141003.0	583730-164501	Yttre Bråviken	"58° 36' 39,010"""	"16° 45' 35,204"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583730-164501
12	s	SE583825-163500	141004.0	583825-163500	Mellersta Bråviken	"58° 38' 30,790"""	"16° 28' 57,471"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583825-163500
12	s	SE583755-163200	141005.0	583755-163200	Ållonöfjärden	"58° 37' 23,271"""	"16° 31' 53,654"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583755-163200
13		SE583926-161744	141006.0	583926-161744	Inre Bråviken	"58° 38' 38,462"""	"16° 23' 57,999"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583926-161744
13		SE583730-162500	141007.0	583730-162500	Svensksundsviken	"58° 36' 34,093"""	"16° 24' 28,301"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583730-162500
12	s	SE582820-165920	141008.0	582820-165920	Arköfjärden sek namn	"58° 27' 48,150"""	"16° 56' 32,499"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582820-165920
12	s	SE583370-165290	141009.0	583370-165290	Bosöfjärden sek namn	"58° 32' 11,860"""	"16° 54' 19,581"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583370-165290
12	s	SE583000-165600	141010.0	583000-165600	Arkösund	"58° 30' 6,722"""	"16° 55' 18,079"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583000-165600
12	s	SE582600-165680	141011.0	582600-165680	Aspöfjärden	"58° 25' 40,480"""	"16° 55' 50,575"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582600-165680
12	s	SE582630-165210	141012.0	582630-165210	Lönshuvudfjärden	"58° 27' 7,935"""	"16° 53' 5,437"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582630-165210
12	s	SE582590-165000	141013.0	582590-165000	Rimmöfjärden sek namn	"58° 25' 18,603"""	"16° 48' 2,044"""	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582590-165000
