WATER_BODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area
Lövöområdet sek namn	4	2	2006-12-31		8	565800-163000	SE4	SE565800-163000	SE4	SE	8	8	71275.47893	35302098.08
Åvaviken	3	2	2006-12-31		12	591050-182320	SE3	SE591050-182320	SE3	SE	12n	12	4944.070251	724451.6921
Rimmöfjärden sek namn	4	2	2006-12-31		12	582590-165000	SE4	SE582590-165000	SE4	SE	12s	12	62788.06416	18522335.89
Gävlebuktens utsjövatten	2	2	2011-10-26	604400-174001	17	604200-174400	SE2	SE604200-174400	SE2	SE	17	17	130639.7657	366137553.4
N S M Bottenhavets kustvatten	2	2	2011-10-27	612230-172001	17	612520-172080	SE2	SE612520-172080	SE2	SE	17	17	253619.5334	566860092.1
N Bottenhavets kustvatten	2	2	2011-10-31	632220-193051	19	633400-195000	SE2	SE633400-195000	SE2	SE	19	19	160979.6386	413343915.5
Havsfjärden sek namn	2	2	2006-12-31		18	631406-185500	SE2	SE631406-185500	SE2	SE	18	18	27056.87208	11623719.21
S Höga kustens kustvatten	2	2	2011-11-07	624600-181851	19	623890-178030	SE2	SE623890-178030	SE2	SE	19	19	185008.532	292682241.2
Granöfjärden	1	2	2011-11-08	729996-179691	22	656620-222480	SE1	SE656620-222480	SE1	SE	22	22	10433.27085	4224557.516
Bergnäsfjärden	1	2	2011-11-08	729996-179691	22	656840-222800	SE1	SE656840-222800	SE1	SE	22	22	23940.35658	7241271.945
Stärnö Sandvik	4	2	2011-11-08	560695-144620	8	561480-148220	SE4	SE561480-148220	SE4	SE	8	8	14043.42454	3470662.161
Västra Blekinge skärgårds kustvatten	4	2	2007-03-27	560450-152001	9	621688-144133	SE4	SE621688-144133	SE4	SE	9	9	61030.01175	164539304.2
Yttre Pukaviksbukten	4	2	2011-11-08	560695-144620	8	561150-147620	SE4	SE561150-147620	SE4	SE	8	8	39788.29372	24780265.36
Åvikfjärden	2	2	2011-11-08	631000-184790	18	632030-187600	SE2	SE632030-187600	SE2	SE	18	18	5907.241138	1180861.189
Gullviksfjärden sek namn	2	2	2011-11-08	631000-184790	18	631710-188130	SE2	SE631710-188130	SE2	SE	18	18	37656.98669	33574660.48
Inre Tynderösundet	2	2	2011-11-08	621855-174000	18	624380-176450	SE2	SE624380-176450	SE2	SE	18	18	6073.055906	796827.7213
Juniskär-Bergsfjärden	2	2	2011-11-08	621855-174000	18	622900-174790	SE2	SE622900-174790	SE2	SE	18	18	24804.16391	5465307.375
