OBJECTID	HID	TYP_NFS06	NAMN	VISS_EU_CD	VISS_MS_CD	WB	District	COMP_AUTH	Country	Version	URL_VISS	DATUM	ObjVer	BASIN_NR	VattenID	UUID	PopNamn	CWVattenID	CWUUID	Shape_Leng	Shape_Area	TYPOMR_KOD	TYPOMRNAMN
197	584420-172515	12	Ringsöfjärden sek namn	SE584420-172515	SE584420-172515	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584420-172515	2006/12/31	2010	8	WA96744786	FBBDE71A-FAE9-402D-9A48-A025332599F0	"Ringsöfjärden sek namn_(58.75,17.4)"	WA69969592	1AD7E126-85A5-4589-9741-06029A945002	22355.46188300000	4890395.60109999960	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
198	584227-171600	12	Risöområdet sek namn	SE584227-171600	SE584227-171600	Y	SE3	NO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE584227-171600	2006/12/31	2010	8	WA62896678	8709858C-CC21-4CD2-B49C-EC6D77E49EEE	"Risöområdet sek namn_(58.7,17.3)"	WA58126007	ABCF408E-2D41-4B02-9AFB-D05F08038BEB	98196.91293510000	25393178.95360000100	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
199	583625-111300	1	Fjällbacka yttre skärgård	SE583625-111300	SE583625-111300	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583625-111300	2006/12/31	2010	17	WA30989075	B5A55C3B-20C1-47BB-99E6-9311E5F5CB08	"Fjällbacka yttre skärgård_(58.55,11.19)"	WA33507043	B103D3FD-5F36-40DE-98B1-B44249F6938E	106320.11129900000	30489989.12630000000	1n	"1n - Västkustens inre kustvatten, norra"
200	582630-113515	2	Färlevfjorden	SE582630-113515	SE582630-113515	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582630-113515	2006/12/31	2010	17	WA79429803	42889216-86A9-460F-A983-C25819909C8B	"Färlevfjorden_(58.45,11.58)"	WA66502688	CCCFA512-037F-47D7-A2C9-BE112C874495	13920.55852870000	3054600.89620999990	2	2 - Västkustens fjordar
201	583450-110750	3	Väderöfjorden	SE583450-110750	SE583450-110750	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583450-110750	2006/12/31	2010	17	WA65913184	672C23D9-0C76-490D-AF65-692F40AD28C8	"Väderöfjorden_(58.58,11.12)"	WA58228631	09AC6BA3-3A94-4B0F-90BD-B4F006EB410D	33960.46524110000	41389682.59669999800	3	"3 - Västkustens yttre kustvatten, Skagerrak"
202	582850-111760	1	Bottnefjorden	SE582850-111760	SE582850-111760	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582850-111760	2006/12/31	2010	17	WA89551501	28094692-F638-4B58-AAC6-9AA3338F8D30	"Bottnefjorden_(58.48,11.31)"	WA92686252	11FC64B9-3467-426E-8E4F-FA4F37539B96	35740.25559520000	5963885.32564000040	1n	"1n - Västkustens inre kustvatten, norra"
203	583875-170270	12	Sillöfjärden	SE583875-170270	SE583875-170270	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583875-170270	2006/12/31	2010	8	WA75176829	71B259B1-8831-42FF-B4B7-E05565C74519	"Sillöfjärden_(58.65,17.04)"	WA72632118	AC10B7E7-50CF-434F-8533-77AE4A22AE16	5209.20760285000	1063919.93702999990	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
204	583730-164501	12	Yttre Bråviken	SE583730-164501	SE583730-164501	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583730-164501	2006/12/31	2010	8	WA71582417	74D0AB15-339A-4644-B194-58F17E96BA98	"Yttre Bråviken_(58.61,16.76)"	WA36055104	FA3036BC-8289-47D3-B83C-D4334F4B47BC	78662.52733200000	46631192.60960000000	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
205	583730-162500	13	Svensksundsviken	SE583730-162500	SE583730-162500	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583730-162500	2006/12/31	2010	8	WA13490552	DA337A2F-0DCC-4748-A22A-95BF7E8A1101	"Svensksundsviken_(58.61,16.41)"	WA32024451	CC608ECD-716A-4967-917B-2E00A522DD44	28452.02627520000	10485328.76410000000	13	13 - Östergötlands inre skärgård
206	583000-165600	12	Arkösund	SE583000-165600	SE583000-165600	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE583000-165600	2006/12/31	2010	8	WA78716260	EFD73EF2-E8BF-40A5-AF8C-667E54C754C8	"Arkösund_(58.5,16.92)"	WA46721885	16B5A4BE-BB08-4E2F-A8EE-7948B3F45E34	28030.99536960000	5641910.86777000040	12n	"12n - Östergötlands samt Stockholms skärgård, mellankustvatten, norra"
207	582150-112530	2	Brofjorden	SE582150-112530	SE582150-112530	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582150-112530	2006/12/31	2010	17	WA50938444	217DF594-2275-4DCB-9E5A-58C42E7920E3	"Brofjorden_(58.36,11.43)"	WA64759536	F211D41A-B798-4DF7-A4AF-A339AE3F1F66	30693.15031080000	7231261.27804999980	2	2 - Västkustens fjordar
208	582600-165680	12	Aspöfjärden	SE582600-165680	SE582600-165680	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582600-165680	2006/12/31	2010	8	WA82117325	CC01FE47-4B0A-4B76-8DCD-A76AD1A18428	"Aspöfjärden_(58.43,16.93)"	WA80810811	6C51298E-5C03-4C23-85E2-79161D5FA4CA	64570.69245980000	23889893.61549999900	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
209	582705-163350	13	Inre Slätbaken	SE582705-163350	SE582705-163350	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582705-163350	2006/12/31	2010	8	WA14109315	0231A2DA-48BD-4DC3-8077-D3C36A094DC0	"Inre Slätbaken_(58.47,16.51)"	WA95526638	DDB02711-F69E-49F4-B27E-0E79788F21FE	39029.00663960000	15424279.58900000000	13	13 - Östergötlands inre skärgård
210	582630-165210	12	Lönshuvudfjärden	SE582630-165210	SE582630-165210	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582630-165210	2006/12/31	2010	8	WA83647320	25254296-32DF-42DF-A153-CA8EB1DEC107	"Lönshuvudfjärden_(58.45,16.88)"	WA12117547	BF5779A6-B402-4202-8C07-B93C30E82F54	33980.49886060000	15901502.23189999900	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
211	582600-163810	12	Merumsfjärden	SE582600-163810	SE582600-163810	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582600-163810	2006/12/31	2010	8	WA19335716	C46D0E1A-F291-4BD2-A538-5B29222CF6D1	"Merumsfjärden_(58.43,16.63)"	WA23409196	0A5F32EA-5EC2-43A5-A8AB-C5D596582BB8	21369.87734420000	6495792.80475999970	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
212	582590-165000	12	Rimmöfjärden sek namn	SE582590-165000	SE582590-165000	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582590-165000	2006/12/31	2010	8	WA87508151	13366903-863B-4DE3-B4E0-2983593B3D14	"Rimmöfjärden sek namn_(58.42,16.8)"	WA32785474	A4D209FA-1529-433B-981C-4CF8ABC76BE3	62788.06416040000	18522335.88650000100	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
213	582460-164500	12	Trännöfjärden	SE582460-164500	SE582460-164500	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE582460-164500	2006/12/31	2010	8	WA37251735	CCD0EE61-D91A-42BC-8866-A1C429F0954F	"Trännöfjärden_(58.42,16.7)"	WA36983398	34CD467A-7A87-4135-BE02-E1697ADD498A	92017.40941870000	30748623.86479999900	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
214	581820-165500	12	Finnfjärden	SE581820-165500	SE581820-165500	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581820-165500	2006/12/31	2010	8	WA88775206	EDC0B75E-7736-41CD-9290-49B6FBB15176	"Finnfjärden_(58.31,16.9)"	WA90916099	6B38AD38-57F2-4BBD-B3AC-FC8CD254EC62	56601.71803110000	21741082.25010000200	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
215	581960-164890	12	Korsfjärden	SE581960-164890	SE581960-164890	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581960-164890	2006/12/31	2010	8	WA63097606	DE5F6774-70C6-4017-93B4-16DB8AF2480F	"Korsfjärden_(58.32,16.81)"	WA12768046	7C668CB1-CA70-4BF9-AEF3-782AF0916234	29813.59432970000	5228525.10018999970	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
216	580950-170601	14	Gryts skärgårds kustvatten	SE580950-170601	SE580950-170601	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580950-170601	2006/12/31	2010	8	WA58853999	0088DFB1-8A57-4AAA-8101-045D45A23F64	"Gryts skärgårds kustvatten_(58.23,17.09)"	WA55244674	4B4806ED-57D3-44FC-8F03-00904E0254F7	61519.82354880000	114708173.07099999000	14	14 - Östergötlands yttre kustvatten
217	581800-170000	12	Kullskärsdjupet	SE581800-170000	SE581800-170000	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581800-170000	2006/12/31	2010	8	WA39817121	477FBA80-C272-45E9-9E40-DCFB9879C5F8	"Kullskärsdjupet_(58.3,16.98)"	WA89380856	CB8F9108-074B-4645-AFE3-A02CD99440F4	32052.52641780000	13070194.37800000000	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
218	581450-113140	2	Nordströmmarna	SE581450-113140	SE581450-113140	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE581450-113140	2006/12/31	2010	17	WA60529650	EB6B0271-D56B-42DB-BEDD-3208A84FCA81	"Nordströmmarna_(58.24,11.53)"	WA65414529	0CBE8D72-DE4C-4636-9F9B-0517FA951578	12305.77492710000	1507367.47621000000	2	2 - Västkustens fjordar
219	575760-112671	3	Hjärteröfjorden	SE575760-112671	SE575760-112671	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575760-112671	2006/12/31	2010	17	WA90978796	4BF1610C-723C-4961-A589-87636E7F0FA1	"Hjärteröfjorden_(57.94,11.45)"	WA21122787	B43CB871-0B59-4D4E-93DA-90DAC89F2A3E	63098.83204100000	102749690.13400000000	3	"3 - Västkustens yttre kustvatten, Skagerrak"
220	580375-164500	12	Licknevarpefjärden	SE580375-164500	SE580375-164500	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580375-164500	2006/12/31	2010	8	WA13061736	BA57B75C-7883-486B-85ED-54BB5AB19C66	"Licknevarpefjärden_(58.06,16.75)"	WA67855723	945AC6A4-1FF9-4488-A5DF-3910E764A143	17274.58763140000	3467910.59647000020	12s	"12s - Östergötlands samt Stockholms skärgård, mellankustvatten, södra"
221	580150-191251	11	Fårö n kustvatten	SE580150-191251	SE580150-191251	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580150-191251	2006/12/31	2010	8	WA20758028	C2D30196-71C1-45D8-8E87-BB87AEE6A6F4	"Fårö n kustvatten_(58,19.27)"	WA12448377	43F84E91-F4C2-4454-A59F-1C7CAAEF1D2E	72142.45396990000	75134063.22959999700	11	11 - Gotlands västra och norra kustvatten
222	580250-164000	13	Edsviken	SE580250-164000	SE580250-164000	Y	SE4	SO	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE580250-164000	2006/12/31	2010	8	WA72854477	0EB84617-E3AD-4C9E-9A87-14F028A6D7F6	"Edsviken_(58.04,16.66)"	WA96967308	D48A1E20-DD7A-4916-B8A3-CF1C30049065	5774.40104178000	630637.17336999997	13	13 - Östergötlands inre skärgård
223	575747-113237	1	Klädesholmenområdet	SE575747-113237	SE575747-113237	Y	SE5	VH	SE	SVAR_2016_3b	http://www.viss.lansstyrelsen.se/waters.aspx?waterEUID=SE575747-113237	2006/12/31	2010	17	WA30860467	614A77F4-C34F-4A76-909C-EBCBE78D1F2D	"Klädesholmenområdet_(57.95,11.55)"	WA84417938	9ADFEA9A-CFFA-468C-9174-DD5A9CEB0EE2	26131.91424090000	3862286.27447000010	1n	"1n - Västkustens inre kustvatten, norra"
