	WATERBODY_NAME	Vattendist	OMRTYP	DATUM	OLD_HID	TYP_NFS06	HID	DIST_CD	VISS_EU_CD	WATER_DISTRICT_CODE	COUNTRY	TYPE_AREA_CODE	TYPE_AREA_NO	Shape_Leng	Shape_Area	TYPE_AREA_SUFFIX	TYPE_AREA_NAME
152	Bondöfjärden	1	2	2006-12-31		22	651075-213700	SE1	SE651075-213700	SE1	SE	22	22	55903.13831	58603283.9		Bottenviken, inre kustvatten
153	Jävrefjärden	1	2	2006-12-31		22	650750-213500	SE1	SE650750-213500	SE1	SE	22	22	28152.15638	16721049.89		Bottenviken, inre kustvatten
154	Rösnäsfjärden	1	2	2006-12-31		22	645340-211330	SE1	SE645340-211330	SE1	SE	22	22	20550.63003	4782637.044		Bottenviken, inre kustvatten
155	Skelleftehamnsfjärden	1	2	2006-12-31		22	644070-211650	SE1	SE644070-211650	SE1	SE	22	22	7413.8533560000005	1863592.6130000001		Bottenviken, inre kustvatten
156	Gumbodafjärden	1	2	2006-12-31		22	641250-210560	SE1	SE641250-210560	SE1	SE	22	22	8646.830818	1674758.049		Bottenviken, inre kustvatten
157	Vändskärsfjärden	1	2	2006-12-31		22	641000-210500	SE1	SE641000-210500	SE1	SE	22	22	30888.02855	18298531.0		Bottenviken, inre kustvatten
158	Sikeåfjärden	1	2	2006-12-31		22	640900-205935	SE1	SE640900-205935	SE1	SE	22	22	8744.744361	1430833.835		Bottenviken, inre kustvatten
159	Ricklefjärden	1	2	2006-12-31		22	640400-205770	SE1	SE640400-205770	SE1	SE	22	22	10610.59642	3742230.7210000004		Bottenviken, inre kustvatten
160	Bygdefjärden	1	2	2006-12-31		22	640240-205500	SE1	SE640240-205500	SE1	SE	22	22	9997.996235999999	1533243.4309999999		Bottenviken, inre kustvatten
161	Risöfjärden	2	2	2006-12-31		18	631500-190270	SE2	SE631500-190270	SE2	SE	18	18	33902.90103	5793017.738		Norra Bottenhavet, Höga kusten, inre kustvatten
162	Kungshamn s skärgård	5	2	2006-12-31		1	582147-111771	SE5	SE582147-111771	SE5	SE	1n	1	24855.96847	6007959.835	n	Västkustens inre kustvatten, norra
163	Yttre Brofjorden	5	2	2006-12-31		1	582000-112350	SE5	SE582000-112350	SE5	SE	1n	1	19641.36252	6017429.58	n	Västkustens inre kustvatten, norra
164	Saltö fjord	5	2	2006-12-31		1	581748-112411	SE5	SE581748-112411	SE5	SE	1n	1	66960.78161	22538091.58	n	Västkustens inre kustvatten, norra
165	n Käringöfjorden inre skärgård	5	2	2006-12-31		1	580765-112501	SE5	SE580765-112501	SE5	SE	1n	1	37917.94302	7041694.035	n	Västkustens inre kustvatten, norra
166	s Käringöfjorden inre skärgård	5	2	2006-12-31		1	580530-112700	SE5	SE580530-112700	SE5	SE	1n	1	25502.00815	4805176.73	n	Västkustens inre kustvatten, norra
167	M Bohusläns skärgårds kustvatten	5	2	2006-12-31		3	580500-111801	SE5	SE580500-111801	SE5	SE	3	3	163519.4014	232944367.1		Västkustens yttre kustvatten, Skagerrak
168	Hamburgsundsområdet	5	2	2006-12-31		1	583160-111551	SE5	SE583160-111551	SE5	SE	1n	1	16974.2243	1926528.427	n	Västkustens inre kustvatten, norra
169	Heestrand området	5	2	2006-12-31		1	583050-110650	SE5	SE583050-110650	SE5	SE	1n	1	18074.64699	1816480.677	n	Västkustens inre kustvatten, norra
170	Kråke fjord	5	2	2006-12-31		1	580338-112901	SE5	SE580338-112901	SE5	SE	1n	1	42265.005769999996	10625685.49	n	Västkustens inre kustvatten, norra
171	Tången området	5	2	2006-12-31		1	580860-114560	SE5	SE580860-114560	SE5	SE	1n	1	15238.830759999999	3595616.9289999995	n	Västkustens inre kustvatten, norra
172	Sannäsfjorden sek namn	5	2	2006-12-31		1	584450-111445	SE5	SE584450-111445	SE5	SE	1n	1	32577.27285	4337683.399	n	Västkustens inre kustvatten, norra
173	Dynekilen	5	2	2006-12-31		1	585990-111125	SE5	SE585990-111125	SE5	SE	1n	1	14500.306569999999	1749020.302	n	Västkustens inre kustvatten, norra
