Datatyp	Kontrollstatus	Kontrollerad av	År	Provtagningsplattform (kod)	Besöks-ID	Expeditions-ID	Stationsnamn	Rapporterat stationsnamn	Projekt	Beställare	Provtagningsdatum	Provtagningstid (start)	Provtagningsdatum (slut)	Provtagningstid (slut)	Shark prov id	Provets latitud (DM)	Provets longitud (DM)	Provets latitud (DD)	Provets longitud (DD)	Positioneringssystem (kod)	Vattendjup vid stationen	Vindriktning (dekagrad)	Vindhastighet (m/s)	Lufttemperatur (C)	Luftens våttemperatur (C)	Lufttryck (hpa)	Väderlek (kod)	Molnighet (kod)	Vågobservation (kod)	Is (kod)	Siktdjup (m)	Q-flagga Siktdjup	Övrig Provtagning	Besökskommentar	Provtagningsdjup (m)	Tryck CTD (dbar)	Q-flagga Tryck CTD	Temperatur vattenhämtare (C)	Q-flagga Temperatur vattenhämtare	Temperatur CTD (C)	Q-flagga Temperatur CTD	Salinitet vattenhämtare (o/oo psu)	Q-flagga Salinitet vattenhämtare	Salinitet CTD (o/oo psu)	Q-flagga Salinitet CTD	Konduktivitet_25 vattenhämtare (mS/m)	Q-flagga Konduktivitet_25 vattenhämtare	Konduktivitet CTD (mS/m)	Q-flagga Konduktivitet CTD	Syrgashalt O2 vattenhämtare (ml/l)	Q-flagga Syrgashalt O2 vattenhämtare	Syrgashalt O2 CTD (ml/l)	Q-flagga Syrgashalt O2 CTD	Svavelväte H2S (umol/l)	Q-flagga Svavelväte H2S-S	pH	Q-flagga pH	pH Laboratorium	Q-flagga pH Laboratorium	Temperatur pH Laboratorium (C)	Q-flagga Temperatur pH Laboratorium	Alkalinitet (mmol/l)	Q-flagga Alkalinitet	Fosfatfosfor PO4-P (umol/l)	Q-flagga Fosfatfosfor PO4-P	Total fosfor Tot-P (umol/l)	Q-flagga Total fosfor Tot-P	Nitritkväve NO2-N (umol/l)	Q-flagga Nitritkväve NO2-N	Nitratkväve NO3-N (umol/l)	Q-flagga Nitratkväve NO3-N	Nitrit+Nitratkväve NO2+NO3-N (umol/l)	Q-flagga Nitrit+Nitratkväve NO2+NO3-N	Ammoniumkväve NH4-N (umol/l)	Q-flagga Ammoniumkväve NH4-N	Total kväve Tot-N (umol/l)	Q-flagga Total kväve Tot-N	Silicate SiO3-Si (umol/l)	QFLAG Silicate SiO3-Si	Humus (ug/l)	Q-flagga Humus	Klorofyll-a vattenhämtare (ug/l)	Q-flagga Klorofyll-a vattenhämtare	Löst Organiskt Kol DOC (umol/l)	Q-flagga Löst Organiskt Kol DOC	Partikulärt Organiskt Kol POC (umol/l)	Q-flagga Partikulärt Organiskt Kol POC	Total Organiskt Kol TOC (mg/l)	Q-flagga Total Organiskt Kol TOC	Partikulärt Organiskt Kväve PON (umol/l)	Q-flagga Partikulärt Organiskt Kväve PON	Strömriktning (dekagrader)	Q-flagga Strömriktning	Strömhastighet (m/s)	Q-flagga Strömhastighet	Lignin (mg/l)	Q-flagga Lignin	Gulämne (1/l)	Q-flagga Gulämne	Aluminium (ug/l)	Q-flagga Aluminium	Urea (umol/l)	Q-flagga Urea	CDOM (1/m)	Q-flagga CDOM	Provkommentar	Vattenkategori	Vattendistrikt	Vattenförekomst	Vattenförekomst-kod	Typområde	Havsbassäng	HELCOM/OSPAR-område	Ekonomisk zon	Län	Kommun	Stationid VISS	Rapporterande institut	Datavärd	Internetåtkomst	Leveranspaket	Filnamn
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+20+20	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					20					14.96				32.16						5.38		5.0												0.39				0.57		0.75		1.32		0.50				3.7				0.9																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+25+25	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					25					15.09				32.73						5.36		4.9												0.41				0.50		0.69		1.19		0.74				3.9				0.7																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+30+30	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					30					14.84				33.09						5.18		4.8												0.44				0.47		1.61		2.08		0.55				4.8				0.5																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+40+40	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					40			14.44		14.39				33.60						5.06		4.7												0.46				0.56		2.24		2.80		0.23				5.5				0.4																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+50+50	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					50					13.50				34.24						4.87		4.5												0.52				0.40		3.70		4.10		0.20	<			6.6				0.2																																				Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+60+60	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					60					12.86				34.47						4.83		4.5												0.56				0.25		4.32		4.57		0.20	<			7.2																																								Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+70+70	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					70					12.00				34.64						4.80		4.4												0.62				0.12		5.22		5.34		0.20	<			8.0																																								Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0008	1	FLADEN	FLADEN	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	20:10			SHARK-HYD+2017+34EB+0008+85+85	57 11.53	11 39.45	57.19220	11.65742		86	21	13	13.5		1001	9	9	9	0					85			11.36												4.72														0.73				0.19		5.94		6.13		0.20	<			9.7																																								Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Pågående-SMHI	Leverantör	2017	34EB	0002	1	SLÄGGÖ	SLÄGGÖ	PROJ SMHIs BasVerksamhet, NAT Nationell miljöövervakning	Havs- och vattenmyndigheten, Sveriges meteorologiska och hydrologiska institut 	2017-10-11	03:45			SHARK-HYD+2017+34EB+0002+75+75	58 15.60	11 26.15	58.26003	11.43587		76	22	2	10.0		1003	9	9	9	0				SALTREF 50M FLASKNR 51-53. TEST AV MANETPROVTAGNING.	75			14.90												5.30														0.36				0.22		0.78		1.00		0.83				4.0																																							SE646775-124345	Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BAS_SMHI	SHARK_PhysicalChemical_2017_BAS_SMHI_version_2017-10-30.zip
Physical and Chemical	Klar	Leverantör och Datavärd	2017	77SN	0140		E ÄLVSBORGSBRON	E ÄLVSBORGSBRON	REG Bohuskustens KKP SRK	Bohuskustens vattenvårdsförbund	2017-10-10	12:35			SHARK-HYD+2017+77SN+0140+0+0	57 41.50	11 54.40	57.69167	11.90667		9	18	2	10		1002	2	7	1	0	1.5				0			11.74		11.77		6.256			B					6.74														0.41		0.92		0.42		19.05		19.47		2.28		38.6		20.0				1.8																															OSPAR/HELCOM	Svensk ekonomisk zon	Västra Götalands län	Göteborg		Sveriges meteorologiska och hydrologiska institut 	Swedish Meteorological and Hydrological Institute (SMHI)	http://sharkweb.smhi.se, http://sharkdata.se	SHARK_PhysicalChemical_2017_BOS_SMHI	SHARK_PhysicalChemical_2017_BOS_SMHI_version_2017-11-02.zip
